nominal;data;curs;cdx
100;16.03.2022;"22.4085";Армянских драмов
100;15.03.2022;"22.3221";Армянских драмов
100;12.03.2022;"22.5229";Армянских драмов
100;11.03.2022;"23.362";Армянских драмов
100;10.03.2022;"22.7537";Армянских драмов
100;05.03.2022;"21.0112";Армянских драмов
100;04.03.2022;"22.7494";Армянских драмов
100;03.03.2022;"21.1143";Армянских драмов
100;02.03.2022;"18.8196";Армянских драмов
100;01.03.2022;"19.524";Армянских драмов
100;26.02.2022;"17.4059";Армянских драмов
100;25.02.2022;"18.1102";Армянских драмов
100;23.02.2022;"16.6638";Армянских драмов
100;22.02.2022;"15.9931";Армянских драмов
100;19.02.2022;"15.8465";Армянских драмов
100;18.02.2022;"15.7818";Армянских драмов
100;17.02.2022;"15.6198";Армянских драмов
100;16.02.2022;"15.8679";Армянских драмов
100;15.02.2022;"15.97";Армянских драмов
100;12.02.2022;"15.6125";Армянских драмов
100;11.02.2022;"15.5481";Армянских драмов
100;10.02.2022;"15.5918";Армянских драмов
100;09.02.2022;"15.599";Армянских драмов
100;08.02.2022;"15.6786";Армянских драмов
100;05.02.2022;"15.7537";Армянских драмов
100;04.02.2022;"15.8597";Армянских драмов
100;03.02.2022;"15.8354";Армянских драмов
100;02.02.2022;"15.969";Армянских драмов
100;01.02.2022;"16.0394";Армянских драмов
100;29.01.2022;"16.1113";Армянских драмов
100;28.01.2022;"16.3536";Армянских драмов
100;27.01.2022;"16.3445";Армянских драмов
100;26.01.2022;"16.3667";Армянских драмов
100;25.01.2022;"16.1009";Армянских драмов
100;22.01.2022;"15.9539";Армянских драмов
100;21.01.2022;"15.8954";Армянских драмов
100;20.01.2022;"15.9912";Армянских драмов
100;19.01.2022;"15.8601";Армянских драмов
100;18.01.2022;"15.776";Армянских драмов
100;15.01.2022;"15.6948";Армянских драмов
100;14.01.2022;"15.4466";Армянских драмов
100;13.01.2022;"15.4943";Армянских драмов
100;12.01.2022;"15.5019";Армянских драмов
100;11.01.2022;"15.5311";Армянских драмов
100;31.12.2021;"15.5164";Армянских драмов
100;30.12.2021;"14.9576";Армянских драмов
100;29.12.2021;"14.923";Армянских драмов
100;28.12.2021;"14.8696";Армянских драмов
100;25.12.2021;"14.8606";Армянских драмов
100;24.12.2021;"14.8348";Армянских драмов
100;23.12.2021;"14.9843";Армянских драмов
100;22.12.2021;"14.989";Армянских драмов
100;21.12.2021;"15.0822";Армянских драмов
100;18.12.2021;"14.9681";Армянских драмов
100;17.12.2021;"14.8899";Армянских драмов
100;16.12.2021;"14.9526";Армянских драмов
100;15.12.2021;"14.8154";Армянских драмов
100;14.12.2021;"14.8605";Армянских драмов
100;11.12.2021;"14.8774";Армянских драмов
100;10.12.2021;"14.8686";Армянских драмов
100;09.12.2021;"15.0245";Армянских драмов
100;08.12.2021;"15.0921";Армянских драмов
100;07.12.2021;"14.9963";Армянских драмов
100;04.12.2021;"15.0342";Армянский драм
100;03.12.2021;"15.216";Армянский драм
100;02.12.2021;"15.2016";Армянский драм
100;01.12.2021;"15.3902";Армянский драм
100;30.11.2021;"15.5162";Армянский драм
100;27.11.2021;"15.6414";Армянский драм
100;26.11.2021;"15.4773";Армянский драм
100;25.11.2021;"15.5396";Армянский драм
100;24.11.2021;"15.7014";Армянский драм
100;23.11.2021;"15.4049";Армянский драм
100;20.11.2021;"15.2508";Армянский драм
