nominal;data;curs;cdx
1;19.03.2022;"76.6025";Австралийский доллар
1;18.03.2022;"76.9346";Австралийский доллар
1;17.03.2022;"78.3702";Австралийский доллар
1;16.03.2022;"80.3676";Австралийский доллар
1;15.03.2022;"83.5173";Австралийский доллар
1;12.03.2022;"85.6374";Австралийский доллар
1;11.03.2022;"88.2856";Австралийский доллар
1;10.03.2022;"84.5677";Австралийский доллар
1;05.03.2022;"78.0261";Австралийский доллар
1;04.03.2022;"81.6828";Австралийский доллар
1;03.03.2022;"74.8863";Австралийский доллар
1;02.03.2022;"66.7817";Австралийский доллар
1;01.03.2022;"67.3624";Австралийский доллар
1;26.02.2022;"60.0964";Австралийский доллар
1;25.02.2022;"62.4844";Австралийский доллар
1;23.02.2022;"57.9663";Австралийский доллар
1;22.02.2022;"55.4182";Австралийский доллар
1;19.02.2022;"54.7304";Австралийский доллар
1;18.02.2022;"54.4662";Австралийский доллар
1;17.02.2022;"53.8301";Австралийский доллар
1;16.02.2022;"54.4358";Австралийский доллар
1;15.02.2022;"54.3844";Австралийский доллар
1;12.02.2022;"53.5105";Австралийский доллар
1;11.02.2022;"53.7266";Австралийский доллар
1;10.02.2022;"53.5354";Австралийский доллар
1;09.02.2022;"53.6768";Австралийский доллар
1;08.02.2022;"53.6954";Австралийский доллар
1;05.02.2022;"54.0798";Австралийский доллар
1;04.02.2022;"54.5672";Австралийский доллар
1;03.02.2022;"54.5643";Австралийский доллар
1;02.02.2022;"54.639";Австралийский доллар
1;01.02.2022;"54.57";Австралийский доллар
1;29.01.2022;"54.5422";Австралийский доллар
1;28.01.2022;"55.8629";Австралийский доллар
1;27.01.2022;"56.5553";Австралийский доллар
1;26.01.2022;"56.1427";Австралийский доллар
1;25.01.2022;"55.4629";Австралийский доллар
1;22.01.2022;"55.1633";Австралийский доллар
1;21.01.2022;"55.3355";Австралийский доллар
1;20.01.2022;"55.2078";Австралийский доллар
1;19.01.2022;"54.9228";Австралийский доллар
1;18.01.2022;"54.8784";Австралийский доллар
1;15.01.2022;"55.2264";Австралийский доллар
1;14.01.2022;"54.5022";Австралийский доллар
1;13.01.2022;"53.6748";Австралийский доллар
1;12.01.2022;"53.7918";Австралийский доллар
1;11.01.2022;"53.982";Австралийский доллар
1;31.12.2021;"53.9141";Австралийский доллар
1;30.12.2021;"53.2573";Австралийский доллар
1;29.12.2021;"53.2257";Австралийский доллар
1;28.12.2021;"52.8888";Австралийский доллар
1;25.12.2021;"52.9593";Австралийский доллар
1;24.12.2021;"53.0894";Австралийский доллар
1;23.12.2021;"52.6788";Австралийский доллар
1;22.12.2021;"52.5603";Австралийский доллар
1;21.12.2021;"52.7418";Австралийский доллар
1;18.12.2021;"52.9034";Австралийский доллар
1;17.12.2021;"52.8165";Австралийский доллар
1;16.12.2021;"52.641";Австралийский доллар
1;15.12.2021;"52.384";Австралийский доллар
1;14.12.2021;"52.4813";Австралийский доллар
1;11.12.2021;"52.6429";Австралийский доллар
1;10.12.2021;"52.6975";Австралийский доллар
1;09.12.2021;"52.6665";Австралийский доллар
1;08.12.2021;"52.6319";Австралийский доллар
1;07.12.2021;"51.7233";Австралийский доллар
