nominal;data;curs;cdx
1;19.03.2022;"61.3071";Азербайджанский манат
1;18.03.2022;"61.8077";Азербайджанский манат
1;17.03.2022;"63.7701";Азербайджанский манат
1;16.03.2022;"65.7092";Азербайджанский манат
1;15.03.2022;"67.9384";Азербайджанский манат
1;12.03.2022;"68.8557";Азербайджанский манат
1;11.03.2022;"70.9946";Азербайджанский манат
1;10.03.2022;"68.2851";Азербайджанский манат
1;05.03.2022;"62.2792";Азербайджанский манат
1;04.03.2022;"65.7778";Азербайджанский манат
1;03.03.2022;"60.7703";Азербайджанский манат
1;02.03.2022;"53.9998";Азербайджанский манат
1;01.03.2022;"55.067";Азербайджанский манат
1;26.02.2022;"49.1751";Азербайджанский манат
1;25.02.2022;"51.1647";Азербайджанский манат
1;23.02.2022;"47.3334";Азербайджанский манат
1;22.02.2022;"45.1837";Азербайджанский манат
1;19.02.2022;"44.2897";Азербайджанский манат
1;18.02.2022;"44.5866";Азербайджанский манат
1;17.02.2022;"44.1519";Азербайджанский манат
1;16.02.2022;"44.8299";Азербайджанский манат
1;15.02.2022;"45.0713";Азербайджанский манат
1;12.02.2022;"44.1358";Азербайджанский манат
1;11.02.2022;"43.9812";Азербайджанский манат
1;10.02.2022;"44.0268";Азербайджанский манат
1;09.02.2022;"44.3227";Азербайджанский манат
1;08.02.2022;"44.2421";Азербайджанский манат
1;05.02.2022;"44.7622";Азербайджанский манат
1;04.02.2022;"45.1148";Азербайджанский манат
1;03.02.2022;"45.0176";Азербайджанский манат
1;02.02.2022;"45.3974";Азербайджанский манат
1;01.02.2022;"45.5975";Азербайджанский манат
1;29.01.2022;"45.8019";Азербайджанский манат
1;28.01.2022;"46.4667";Азербайджанский манат
1;27.01.2022;"46.4648";Азербайджанский манат
1;26.01.2022;"46.2873";Азербайджанский манат
1;25.01.2022;"45.5356";Азербайджанский манат
1;22.01.2022;"45.1385";Азербайджанский манат
1;21.01.2022;"44.9916";Азербайджанский манат
1;20.01.2022;"45.2441";Азербайджанский манат
1;19.01.2022;"44.9292";Азербайджанский манат
1;18.01.2022;"44.4525";Азербайджанский манат
1;15.01.2022;"44.5949";Азербайджанский манат
1;14.01.2022;"43.8897";Азербайджанский манат
1;13.01.2022;"43.8656";Азербайджанский манат
1;12.01.2022;"44.0468";Азербайджанский манат
1;11.01.2022;"44.221";Азербайджанский манат
1;31.12.2021;"43.7273";Азербайджанский манат
1;30.12.2021;"43.3499";Азербайджанский манат
1;29.12.2021;"43.2583";Азербайджанский манат
1;28.12.2021;"43.1035";Азербайджанский манат
1;25.12.2021;"43.0775";Азербайджанский манат
1;24.12.2021;"43.1773";Азербайджанский манат
1;23.12.2021;"43.4315";Азербайджанский манат
1;22.12.2021;"43.1548";Азербайджанский манат
1;21.12.2021;"43.7285";Азербайджанский манат
1;18.12.2021;"43.3979";Азербайджанский манат
1;17.12.2021;"43.3024";Азербайджанский манат
1;16.12.2021;"43.4673";Азербайджанский манат
1;15.12.2021;"43.243";Азербайджанский манат
1;14.12.2021;"43.2082";Азербайджанский манат
1;11.12.2021;"43.3231";Азербайджанский манат
1;10.12.2021;"43.3195";Азербайджанский манат
1;09.12.2021;"43.464";Азербайджанский манат
1;08.12.2021;"43.6374";Азербайджанский манат
1;07.12.2021;"43.3604";Азербайджанский манат
