nominal;data;curs;cdx
1;25.03.2022;"53.9371";Болгарский лев
1;24.03.2022;"57.9138";Болгарский лев
1;23.03.2022;"58.6697";Болгарский лев
1;22.03.2022;"59.0889";Болгарский лев
1;19.03.2022;"58.5252";Болгарский лев
1;18.03.2022;"59.2566";Болгарский лев
1;17.03.2022;"60.7307";Болгарский лев
1;16.03.2022;"62.6587";Болгарский лев
1;15.03.2022;"65.0863";Болгарский лев
1;12.03.2022;"65.9651";Болгарский лев
1;11.03.2022;"68.0143";Болгарский лев
1;10.03.2022;"64.6459";Болгарский лев
1;05.03.2022;"59.5891";Болгарский лев
1;04.03.2022;"63.3935";Болгарский лев
1;03.03.2022;"58.5742";Болгарский лев
1;02.03.2022;"52.5944";Болгарский лев
1;01.03.2022;"53.4592";Болгарский лев
1;26.02.2022;"47.7475";Болгарский лев
1;25.02.2022;"50.0137";Болгарский лев
1;23.02.2022;"46.5552";Болгарский лев
1;22.02.2022;"44.6502";Болгарский лев
1;19.02.2022;"44.0527";Болгарский лев
1;18.02.2022;"44.032";Болгарский лев
1;17.02.2022;"43.6535";Болгарский лев
1;16.02.2022;"44.1516";Болгарский лев
1;15.02.2022;"44.3355";Болгарский лев
1;12.02.2022;"43.6833";Болгарский лев
1;11.02.2022;"43.6677";Болгарский лев
1;10.02.2022;"43.6874";Болгарский лев
1;09.02.2022;"43.8964";Болгарский лев
1;08.02.2022;"44.2861";Болгарский лев
1;05.02.2022;"44.5159";Болгарский лев
1;04.02.2022;"44.2655";Болгарский лев
1;03.02.2022;"44.1624";Болгарский лев
1;02.02.2022;"44.3838";Болгарский лев
1;01.02.2022;"44.2839";Болгарский лев
1;29.01.2022;"44.2824";Болгарский лев
1;28.01.2022;"45.2082";Болгарский лев
1;27.01.2022;"45.5795";Болгарский лев
1;26.01.2022;"45.4711";Болгарский лев
1;25.01.2022;"44.7869";Болгарский лев
1;22.01.2022;"44.4607";Болгарский лев
1;21.01.2022;"44.4062";Болгарский лев
1;20.01.2022;"44.5363";Болгарский лев
1;19.01.2022;"44.5152";Болгарский лев
