nominal;data;curs;cdx
1;16.03.2022;"21.6618";Бразильский реал
1;15.03.2022;"22.6983";Бразильский реал
1;12.03.2022;"23.2629";Бразильский реал
1;11.03.2022;"24.0195";Бразильский реал
1;10.03.2022;"22.8078";Бразильский реал
1;05.03.2022;"21.0258";Бразильский реал
1;04.03.2022;"21.913";Бразильский реал
1;03.03.2022;"20.0075";Бразильский реал
1;02.03.2022;"17.7795";Бразильский реал
1;01.03.2022;"18.1182";Бразильский реал
1;26.02.2022;"16.3066";Бразильский реал
1;25.02.2022;"17.3504";Бразильский реал
1;23.02.2022;"15.7565";Бразильский реал
1;22.02.2022;"14.9428";Бразильский реал
1;19.02.2022;"14.6476";Бразильский реал
1;18.02.2022;"14.7465";Бразильский реал
1;17.02.2022;"14.539";Бразильский реал
1;16.02.2022;"14.6041";Бразильский реал
1;15.02.2022;"14.5771";Бразильский реал
1;12.02.2022;"14.2829";Бразильский реал
1;11.02.2022;"14.2715";Бразильский реал
1;10.02.2022;"14.2214";Бразильский реал
1;09.02.2022;"14.3052";Бразильский реал
1;08.02.2022;"14.2097";Бразильский реал
1;05.02.2022;"14.3916";Бразильский реал
1;04.02.2022;"14.5653";Бразильский реал
1;03.02.2022;"14.5243";Бразильский реал
1;02.02.2022;"14.5402";Бразильский реал
1;01.02.2022;"14.4327";Бразильский реал
1;29.01.2022;"14.392";Бразильский реал
1;28.01.2022;"14.5313";Бразильский реал
1;27.01.2022;"14.5005";Бразильский реал
1;26.01.2022;"14.3298";Бразильский реал
1;25.01.2022;"14.1881";Бразильский реал
1;22.01.2022;"14.1505";Бразильский реал
1;21.01.2022;"14.0547";Бразильский реал
1;20.01.2022;"13.8079";Бразильский реал
1;19.01.2022;"13.8363";Бразильский реал
1;18.01.2022;"13.7384";Бразильский реал
1;15.01.2022;"13.7033";Бразильский реал
1;14.01.2022;"13.4739";Бразильский реал
1;13.01.2022;"13.3824";Бразильский реал
1;12.01.2022;"13.2129";Бразильский реал
1;11.01.2022;"13.3354";Бразильский реал
1;31.12.2021;"13.0253";Бразильский реал
1;30.12.2021;"13.0847";Бразильский реал
1;29.12.2021;"13.065";Бразильский реал
1;28.12.2021;"12.9038";Бразильский реал
1;25.12.2021;"12.8958";Бразильский реал
1;24.12.2021;"12.9734";Бразильский реал
1;23.12.2021;"12.8429";Бразильский реал
1;22.12.2021;"12.8551";Бразильский реал
1;21.12.2021;"13.0429";Бразильский реал
1;18.12.2021;"12.9613";Бразильский реал
1;17.12.2021;"12.9506";Бразильский реал
1;16.12.2021;"12.9974";Бразильский реал
1;15.12.2021;"12.933";Бразильский реал
1;14.12.2021;"13.0782";Бразильский реал
1;11.12.2021;"13.2076";Бразильский реал
1;10.12.2021;"13.3015";Бразильский реал
1;09.12.2021;"13.1554";Бразильский реал
1;08.12.2021;"13.0308";Бразильский реал
1;07.12.2021;"13.0315";Бразильский реал
