nominal;data;curs;cdx
1;16.03.2022;"33.5841";Белорусский рубль
1;15.03.2022;"34.9971";Белорусский рубль
1;12.03.2022;"35.3055";Белорусский рубль
1;11.03.2022;"38.8656";Белорусский рубль
1;10.03.2022;"37.4793";Белорусский рубль
1;05.03.2022;"34.2191";Белорусский рубль
1;04.03.2022;"36.1391";Белорусский рубль
1;03.03.2022;"35.1126";Белорусский рубль
1;02.03.2022;"29.4765";Белорусский рубль
1;01.03.2022;"33.9264";Белорусский рубль
1;26.02.2022;"30.3261";Белорусский рубль
1;25.02.2022;"31.0349";Белорусский рубль
1;23.02.2022;"30.9068";Белорусский рубль
1;22.02.2022;"29.7075";Белорусский рубль
1;19.02.2022;"29.5391";Белорусский рубль
1;18.02.2022;"29.4609";Белорусский рубль
1;17.02.2022;"29.362";Белорусский рубль
1;16.02.2022;"29.5217";Белорусский рубль
1;15.02.2022;"29.5821";Белорусский рубль
1;12.02.2022;"29.3502";Белорусский рубль
1;11.02.2022;"29.2108";Белорусский рубль
1;10.02.2022;"29.2479";Белорусский рубль
1;09.02.2022;"29.2443";Белорусский рубль
1;08.02.2022;"29.5051";Белорусский рубль
1;05.02.2022;"29.5194";Белорусский рубль
1;04.02.2022;"29.5319";Белорусский рубль
1;03.02.2022;"29.5081";Белорусский рубль
1;02.02.2022;"29.78";Белорусский рубль
1;01.02.2022;"29.8444";Белорусский рубль
1;29.01.2022;"29.7774";Белорусский рубль
1;28.01.2022;"30.0728";Белорусский рубль
1;27.01.2022;"30.0944";Белорусский рубль
1;26.01.2022;"30.1774";Белорусский рубль
1;25.01.2022;"29.8131";Белорусский рубль
1;22.01.2022;"29.8058";Белорусский рубль
1;21.01.2022;"29.7609";Белорусский рубль
1;20.01.2022;"29.5823";Белорусский рубль
1;19.01.2022;"29.5321";Белорусский рубль
1;18.01.2022;"29.4228";Белорусский рубль
1;15.01.2022;"29.4985";Белорусский рубль
1;14.01.2022;"29.0659";Белорусский рубль
1;13.01.2022;"29.0353";Белорусский рубль
1;12.01.2022;"29.0522";Белорусский рубль
1;11.01.2022;"29.1038";Белорусский рубль
1;31.12.2021;"29.1458";Белорусский рубль
1;30.12.2021;"29.1608";Белорусский рубль
1;29.12.2021;"29.1882";Белорусский рубль
1;28.12.2021;"29.0953";Белорусский рубль
1;25.12.2021;"29.1066";Белорусский рубль
1;24.12.2021;"29.1915";Белорусский рубль
1;23.12.2021;"29.1949";Белорусский рубль
1;22.12.2021;"29.2672";Белорусский рубль
1;21.12.2021;"29.2729";Белорусский рубль
1;18.12.2021;"29.1458";Белорусский рубль
1;17.12.2021;"29.0312";Белорусский рубль
1;16.12.2021;"29.2583";Белорусский рубль
1;15.12.2021;"29.1964";Белорусский рубль
1;14.12.2021;"29.2124";Белорусский рубль
1;11.12.2021;"29.053";Белорусский рубль
1;10.12.2021;"29.0506";Белорусский рубль
1;09.12.2021;"29.0592";Белорусский рубль
1;08.12.2021;"29.0882";Белорусский рубль
1;07.12.2021;"28.9661";Белорусский рубль
