nominal;data;curs;cdx
1;25.03.2022;"76.4452";Канадский доллар
1;24.03.2022;"81.933";Канадский доллар
1;23.03.2022;"82.7298";Канадский доллар
1;22.03.2022;"83.0677";Канадский доллар
1;19.03.2022;"82.2994";Канадский доллар
1;18.03.2022;"82.6638";Канадский доллар
1;17.03.2022;"85.0335";Канадский доллар
1;16.03.2022;"86.9393";Канадский доллар
1;15.03.2022;"89.8147";Канадский доллар
1;12.03.2022;"91.0274";Канадский доллар
1;11.03.2022;"93.8551";Канадский доллар
1;10.03.2022;"90.2189";Канадский доллар
1;05.03.2022;"83.3562";Канадский доллар
1;04.03.2022;"88.6815";Канадский доллар
1;03.03.2022;"81.2087";Канадский доллар
1;02.03.2022;"72.4346";Канадский доллар
1;01.03.2022;"73.2646";Канадский доллар
1;26.02.2022;"65.2621";Канадский доллар
1;25.02.2022;"67.9344";Канадский доллар
1;23.02.2022;"63.0938";Канадский доллар
1;22.02.2022;"60.2899";Канадский доллар
1;19.02.2022;"59.768";Канадский доллар
1;18.02.2022;"59.5634";Канадский доллар
1;17.02.2022;"59.1174";Канадский доллар
1;16.02.2022;"59.8695";Канадский доллар
1;15.02.2022;"59.9751";Канадский доллар
1;12.02.2022;"58.9333";Канадский доллар
1;11.02.2022;"58.9632";Канадский доллар
1;10.02.2022;"58.8571";Канадский доллар
1;09.02.2022;"59.3882";Канадский доллар
1;08.02.2022;"59.4272";Канадский доллар
1;05.02.2022;"59.8779";Канадский доллар
1;04.02.2022;"60.3259";Канадский доллар
1;03.02.2022;"60.2955";Канадский доллар
1;02.02.2022;"60.9003";Канадский доллар
1;01.02.2022;"60.8803";Канадский доллар
1;29.01.2022;"60.9615";Канадский доллар
1;28.01.2022;"62.1336";Канадский доллар
1;27.01.2022;"62.7284";Канадский доллар
1;26.01.2022;"62.1776";Канадский доллар
1;25.01.2022;"61.5424";Канадский доллар
1;22.01.2022;"61.2102";Канадский доллар
1;21.01.2022;"61.2065";Канадский доллар
1;20.01.2022;"61.4564";Канадский доллар
1;19.01.2022;"61.0287";Канадский доллар
1;18.01.2022;"60.7546";Канадский доллар
1;15.01.2022;"60.6814";Канадский доллар
1;14.01.2022;"59.784";Канадский доллар
1;13.01.2022;"59.3137";Канадский доллар
1;12.01.2022;"59.2006";Канадский доллар
1;11.01.2022;"59.4536";Канадский доллар
1;31.12.2021;"58.023";Канадский доллар
1;30.12.2021;"57.4549";Канадский доллар
1;29.12.2021;"57.4411";Канадский доллар
1;28.12.2021;"57.115";Канадский доллар
1;25.12.2021;"57.0627";Канадский доллар
1;24.12.2021;"57.2173";Канадский доллар
1;23.12.2021;"57.1529";Канадский доллар
1;22.12.2021;"57.0352";Канадский доллар
1;21.12.2021;"57.5259";Канадский доллар
1;18.12.2021;"57.7121";Канадский доллар
1;17.12.2021;"57.4413";Канадский доллар
1;16.12.2021;"57.418";Канадский доллар
1;15.12.2021;"57.3535";Канадский доллар
1;14.12.2021;"57.6132";Канадский доллар
1;11.12.2021;"57.9118";Канадский доллар
1;10.12.2021;"58.1036";Канадский доллар
1;09.12.2021;"58.3803";Канадский доллар
1;08.12.2021;"58.309";Канадский доллар
1;07.12.2021;"57.4824";Канадский доллар
