nominal;data;curs;cdx
1;19.03.2022;"110.9536";Швейцарский франк
1;18.03.2022;"111.55";Швейцарский франк
1;17.03.2022;"114.9001";Швейцарский франк
1;16.03.2022;"118.6108";Швейцарский франк
1;15.03.2022;"124.2544";Швейцарский франк
1;12.03.2022;"125.9322";Швейцарский франк
1;11.03.2022;"129.8441";Швейцарский франк
1;10.03.2022;"125.0104";Швейцарский франк
1;05.03.2022;"115.1261";Швейцарский франк
1;04.03.2022;"121.4479";Швейцарский франк
1;03.03.2022;"112.3612";Швейцарский франк
1;02.03.2022;"100.2028";Швейцарский франк
1;01.03.2022;"101.0683";Швейцарский франк
1;26.02.2022;"90.3325";Швейцарский франк
1;25.02.2022;"94.4673";Швейцарский франк
1;23.02.2022;"87.6124";Швейцарский франк
1;22.02.2022;"83.5879";Швейцарский франк
1;19.02.2022;"82.2962";Швейцарский франк
1;18.02.2022;"82.1613";Швейцарский франк
1;17.02.2022;"81.0613";Швейцарский франк
1;16.02.2022;"82.4397";Швейцарский франк
1;15.02.2022;"82.7761";Швейцарский франк
1;12.02.2022;"80.9093";Швейцарский франк
1;11.02.2022;"80.8702";Швейцарский франк
1;10.02.2022;"80.9803";Швейцарский франк
1;09.02.2022;"81.4804";Швейцарский франк
1;08.02.2022;"81.8257";Швейцарский франк
1;05.02.2022;"82.5384";Швейцарский франк
1;04.02.2022;"83.1978";Швейцарский франк
1;03.02.2022;"83.1629";Швейцарский франк
1;02.02.2022;"83.4652";Швейцарский франк
1;01.02.2022;"83.2297";Швейцарский франк
1;29.01.2022;"83.5309";Швейцарский франк
1;28.01.2022;"85.2007";Швейцарский франк
1;27.01.2022;"85.827";Швейцарский франк
1;26.01.2022;"85.7977";Швейцарский франк
1;25.01.2022;"84.8206";Швейцарский франк
1;22.01.2022;"83.8787";Швейцарский франк
1;21.01.2022;"83.6241";Швейцарский франк
1;20.01.2022;"83.928";Швейцарский франк
1;19.01.2022;"83.4989";Швейцарский франк
1;18.01.2022;"83.2863";Швейцарский франк
1;15.01.2022;"83.2419";Швейцарский франк
1;14.01.2022;"81.719";Швейцарский франк
1;13.01.2022;"80.6402";Швейцарский франк
1;12.01.2022;"80.8159";Швейцарский франк
1;11.01.2022;"81.5583";Швейцарский франк
1;31.12.2021;"80.9376";Швейцарский франк
1;30.12.2021;"80.1866";Швейцарский франк
1;29.12.2021;"80.122";Швейцарский франк
1;28.12.2021;"79.6529";Швейцарский франк
1;25.12.2021;"79.7783";Швейцарский франк
1;24.12.2021;"79.7113";Швейцарский франк
1;23.12.2021;"79.7903";Швейцарский франк
1;22.12.2021;"80.2398";Швейцарский франк
1;21.12.2021;"80.362";Швейцарский франк
1;18.12.2021;"80.2318";Швейцарский франк
1;17.12.2021;"79.6997";Швейцарский франк
1;16.12.2021;"79.8994";Швейцарский франк
1;15.12.2021;"79.6162";Швейцарский франк
1;14.12.2021;"79.4918";Швейцарский франк
1;11.12.2021;"79.6514";Швейцарский франк
1;10.12.2021;"79.8782";Швейцарский франк
1;09.12.2021;"79.9192";Швейцарский франк
1;08.12.2021;"80.2901";Швейцарский франк
1;07.12.2021;"79.9798";Швейцарский франк
