nominal;data;curs;cdx
10;19.03.2022;"46.0894";Чешских крон
10;18.03.2022;"46.8777";Чешских крон
10;17.03.2022;"48.098";Чешских крон
10;16.03.2022;"49.2039";Чешских крон
10;15.03.2022;"50.11";Чешских крон
10;12.03.2022;"50.7866";Чешских крон
10;11.03.2022;"52.3642";Чешских крон
10;10.03.2022;"49.3117";Чешских крон
10;05.03.2022;"45.0879";Чешских крон
10;04.03.2022;"48.277";Чешских крон
10;03.03.2022;"44.9386";Чешских крон
10;02.03.2022;"41.0266";Чешских крон
10;01.03.2022;"41.8215";Чешских крон
10;26.02.2022;"37.4741";Чешских крон
10;25.02.2022;"39.2561";Чешских крон
10;23.02.2022;"37.2484";Чешских крон
10;22.02.2022;"35.9498";Чешских крон
10;19.02.2022;"35.3449";Чешских крон
10;18.02.2022;"35.311";Чешских крон
10;17.02.2022;"35.0459";Чешских крон
10;16.02.2022;"35.3635";Чешских крон
10;15.02.2022;"35.2674";Чешских крон
10;12.02.2022;"35.0618";Чешских крон
10;11.02.2022;"35.0924";Чешских крон
10;10.02.2022;"35.2223";Чешских крон
10;09.02.2022;"35.4573";Чешских крон
10;08.02.2022;"35.69";Чешских крон
10;05.02.2022;"35.7248";Чешских крон
10;04.02.2022;"35.7844";Чешских крон
10;03.02.2022;"35.5976";Чешских крон
10;02.02.2022;"35.7134";Чешских крон
10;01.02.2022;"35.4214";Чешских крон
10;29.01.2022;"35.4182";Чешских крон
10;28.01.2022;"36.1512";Чешских крон
10;27.01.2022;"36.4006";Чешских крон
10;26.01.2022;"36.2214";Чешских крон
10;25.01.2022;"35.9536";Чешских крон
10;22.01.2022;"35.819";Чешских крон
10;21.01.2022;"35.8238";Чешских крон
10;20.01.2022;"35.7251";Чешских крон
10;19.01.2022;"35.6271";Чешских крон
10;18.01.2022;"35.4716";Чешских крон
10;15.01.2022;"35.4398";Чешских крон
10;14.01.2022;"35.2029";Чешских крон
10;13.01.2022;"34.7109";Чешских крон
10;12.01.2022;"34.9119";Чешских крон
10;11.01.2022;"34.8784";Чешских крон
10;31.12.2021;"33.7234";Чешских крон
10;30.12.2021;"33.3899";Чешских крон
10;29.12.2021;"33.2455";Чешских крон
10;28.12.2021;"33.0951";Чешских крон
10;25.12.2021;"33.1035";Чешских крон
10;24.12.2021;"33.1428";Чешских крон
10;23.12.2021;"32.9685";Чешских крон
10;22.12.2021;"33.0545";Чешских крон
10;21.12.2021;"33.1111";Чешских крон
10;18.12.2021;"33.0301";Чешских крон
10;17.12.2021;"32.872";Чешских крон
10;16.12.2021;"32.9677";Чешских крон
10;15.12.2021;"32.6257";Чешских крон
10;14.12.2021;"32.6458";Чешских крон
10;11.12.2021;"32.676";Чешских крон
10;10.12.2021;"32.7576";Чешских крон
10;09.12.2021;"32.7256";Чешских крон
10;08.12.2021;"32.9072";Чешских крон
10;07.12.2021;"32.7492";Чешских крон
