nominal;data;curs;cdx
1;25.03.2022;"14.1767";Датская крона
1;24.03.2022;"15.2255";Датская крона
1;23.03.2022;"15.428";Датская крона
1;22.03.2022;"15.5363";Датская крона
1;19.03.2022;"15.3694";Датская крона
1;18.03.2022;"15.5729";Датская крона
1;17.03.2022;"15.9578";Датская крона
1;16.03.2022;"16.4559";Датская крона
1;15.03.2022;"17.095";Датская крона
1;12.03.2022;"17.3258";Датская крона
1;11.03.2022;"17.864";Датская крона
1;10.03.2022;"16.9851";Датская крона
1;05.03.2022;"15.6664";Датская крона
1;04.03.2022;"16.6666";Датская крона
1;03.03.2022;"15.4024";Датская крона
1;02.03.2022;"13.8309";Датская крона
1;01.03.2022;"14.0504";Датская крона
1;26.02.2022;"12.5507";Датская крона
1;25.02.2022;"13.1467";Датская крона
1;23.02.2022;"12.237";Датская крона
1;22.02.2022;"11.7392";Датская крона
1;19.02.2022;"11.5819";Датская крона
1;18.02.2022;"11.5717";Датская крона
1;17.02.2022;"11.4732";Датская крона
1;16.02.2022;"11.6027";Датская крона
1;15.02.2022;"11.6535";Датская крона
1;12.02.2022;"11.4834";Датская крона
1;11.02.2022;"11.4764";Датская крона
1;10.02.2022;"11.48";Датская крона
1;09.02.2022;"11.532";Датская крона
1;08.02.2022;"11.6358";Датская крона
1;05.02.2022;"11.7025";Датская крона
1;04.02.2022;"11.6412";Датская крона
1;03.02.2022;"11.6081";Датская крона
1;02.02.2022;"11.6662";Датская крона
1;01.02.2022;"11.6386";Датская крона
1;29.01.2022;"11.6361";Датская крона
1;28.01.2022;"11.8767";Датская крона
1;27.01.2022;"11.9795";Датская крона
1;26.01.2022;"11.9484";Датская крона
1;25.01.2022;"11.7692";Датская крона
1;22.01.2022;"11.6842";Датская крона
1;21.01.2022;"11.6711";Датская крона
1;20.01.2022;"11.7042";Датская крона
1;19.01.2022;"11.697";Датская крона
1;18.01.2022;"11.6779";Датская крона
1;15.01.2022;"11.6776";Датская крона
1;14.01.2022;"11.4992";Датская крона
1;13.01.2022;"11.3783";Датская крона
1;12.01.2022;"11.4159";Датская крона
1;11.01.2022;"11.4399";Датская крона
1;31.12.2021;"11.2956";Датская крона
1;30.12.2021;"11.1783";Датская крона
1;29.12.2021;"11.1939";Датская крона
1;28.12.2021;"11.1467";Датская крона
1;25.12.2021;"11.157";Датская крона
1;24.12.2021;"11.173";Датская крона
1;23.12.2021;"11.1866";Датская крона
1;22.12.2021;"11.2167";Датская крона
1;21.12.2021;"11.2452";Датская крона
1;18.12.2021;"11.2319";Датская крона
1;17.12.2021;"11.1827";Датская крона
1;16.12.2021;"11.1945";Датская крона
1;15.12.2021;"11.1429";Датская крона
1;14.12.2021;"11.1438";Датская крона
1;11.12.2021;"11.1741";Датская крона
1;10.12.2021;"11.2016";Датская крона
1;09.12.2021;"11.2063";Датская крона
1;08.12.2021;"11.2584";Датская крона
1;07.12.2021;"11.1844";Датская крона
