nominal;data;curs;cdx
1;16.03.2022;"122.4522";Евро
1;15.03.2022;"127.2343";Евро
1;12.03.2022;"128.9523";Евро
1;11.03.2022;"132.9581";Евро
1;10.03.2022;"126.4395";Евро
1;05.03.2022;"116.5312";Евро
1;04.03.2022;"124.0161";Евро
1;03.03.2022;"114.5544";Евро
1;02.03.2022;"102.9112";Евро
1;01.03.2022;"104.4772";Евро
1;26.02.2022;"93.5994";Евро
1;25.02.2022;"97.7688";Евро
1;23.02.2022;"90.882";Евро
1;22.02.2022;"87.3379";Евро
1;19.02.2022;"86.1489";Евро
1;18.02.2022;"86.1308";Евро
1;17.02.2022;"85.306";Евро
1;16.02.2022;"86.2656";Евро
1;15.02.2022;"86.8451";Евро
1;12.02.2022;"85.3574";Евро
1;11.02.2022;"85.3798";Евро
1;10.02.2022;"85.3784";Евро
1;09.02.2022;"85.892";Евро
1;08.02.2022;"86.5181";Евро
1;05.02.2022;"87.1163";Евро
1;04.02.2022;"86.561";Евро
1;03.02.2022;"86.2826";Евро
1;02.02.2022;"86.7869";Евро
1;01.02.2022;"86.5032";Евро
1;29.01.2022;"86.6419";Евро
1;28.01.2022;"88.468";Евро
1;27.01.2022;"89.1511";Евро
1;26.01.2022;"88.9286";Евро
1;25.01.2022;"87.5925";Евро
1;22.01.2022;"86.9054";Евро
1;21.01.2022;"86.8215";Евро
1;20.01.2022;"87.1318";Евро
1;19.01.2022;"87.0216";Евро
1;18.01.2022;"86.8609";Евро
1;15.01.2022;"86.8894";Евро
1;14.01.2022;"85.4556";Евро
1;13.01.2022;"84.6709";Евро
1;12.01.2022;"84.8784";Евро
1;11.01.2022;"85.1315";Евро
1;31.12.2021;"84.0695";Евро
1;30.12.2021;"83.204";Евро
1;29.12.2021;"83.2194";Евро
1;28.12.2021;"82.9363";Евро
1;25.12.2021;"82.93";Евро
1;24.12.2021;"83.1223";Евро
1;23.12.2021;"83.1541";Евро
1;22.12.2021;"83.3213";Евро
1;21.12.2021;"83.6187";Евро
1;18.12.2021;"83.5026";Евро
1;17.12.2021;"83.1571";Евро
1;16.12.2021;"83.2375";Евро
1;15.12.2021;"82.8299";Евро
1;14.12.2021;"82.866";Евро
1;11.12.2021;"83.1158";Евро
1;10.12.2021;"83.3444";Евро
1;09.12.2021;"83.364";Евро
1;08.12.2021;"83.7114";Евро
1;07.12.2021;"83.1138";Евро
1;04.12.2021;"83.2406";Евро
1;03.12.2021;"83.8105";Евро
1;02.12.2021;"83.8354";Евро
1;01.12.2021;"84.8234";Евро
1;30.11.2021;"84.482";Евро
1;27.11.2021;"84.9526";Евро
1;26.11.2021;"83.6793";Евро
1;25.11.2021;"83.6394";Евро
1;24.11.2021;"84.1718";Евро
1;23.11.2021;"82.7715";Евро
1;20.11.2021;"82.5845";Евро
1;19.11.2021;"82.2583";Евро
1;18.11.2021;"82.3553";Евро
1;17.11.2021;"82.5244";Евро
1;16.11.2021;"82.7736";Евро
1;13.11.2021;"82.2173";Евро
1;12.11.2021;"81.6552";Евро
1;11.11.2021;"81.787";Евро
1;10.11.2021;"82.6497";Евро
1;09.11.2021;"82.5355";Евро
1;04.11.2021;"82.8112";Евро
1;03.11.2021;"82.9577";Евро
1;02.11.2021;"82.1687";Евро
1;30.10.2021;"82.2898";Евро
1;29.10.2021;"81.8393";Евро
1;28.10.2021;"81.0289";Евро
1;27.10.2021;"80.7019";Евро
1;26.10.2021;"81.7418";Евро
1;23.10.2021;"82.4979";Евро
1;22.10.2021;"82.6399";Евро
1;21.10.2021;"82.6162";Евро
1;20.10.2021;"82.6841";Евро
1;19.10.2021;"82.4592";Евро
1;16.10.2021;"82.7276";Евро
1;15.10.2021;"83.3347";Евро
1;14.10.2021;"83.0028";Евро
1;13.10.2021;"83.0934";Евро
1;12.10.2021;"82.9273";Евро
1;09.10.2021;"83.1248";Евро
1;08.10.2021;"83.6053";Евро
1;07.10.2021;"83.9251";Евро
1;06.10.2021;"84.1723";Евро
1;05.10.2021;"84.6355";Евро
1;02.10.2021;"84.4577";Евро
1;01.10.2021;"84.305";Евро
1;30.09.2021;"84.8755";Евро
1;29.09.2021;"84.6752";Евро
1;28.09.2021;"85.0355";Евро
1;25.09.2021;"85.6823";Евро
1;24.09.2021;"85.204";Евро
1;23.09.2021;"85.4889";Евро
1;22.09.2021;"85.8568";Евро
1;21.09.2021;"85.8785";Евро
1;18.09.2021;"85.4614";Евро
1;17.09.2021;"85.3622";Евро
1;16.09.2021;"86.0674";Евро
1;15.09.2021;"85.988";Евро
1;14.09.2021;"86.115";Евро
1;11.09.2021;"86.1478";Евро
1;10.09.2021;"86.4677";Евро
1;09.09.2021;"86.9114";Евро
1;08.09.2021;"86.8922";Евро
1;07.09.2021;"86.5743";Евро
1;04.09.2021;"86.5366";Евро
1;03.09.2021;"86.297";Евро
1;02.09.2021;"86.3949";Евро
1;01.09.2021;"86.666";Евро
1;31.08.2021;"86.8104";Евро
1;28.08.2021;"87.0304";Евро
1;27.08.2021;"87.0576";Евро
1;26.08.2021;"86.5814";Евро
1;25.08.2021;"86.8058";Евро
1;24.08.2021;"86.7838";Евро
1;21.08.2021;"86.8646";Евро
1;20.08.2021;"86.615";Евро
1;19.08.2021;"86.121";Евро
1;18.08.2021;"86.4804";Евро
1;17.08.2021;"86.5072";Евро
1;14.08.2021;"86.2195";Евро
1;13.08.2021;"86.3457";Евро
1;12.08.2021;"86.6257";Евро
1;11.08.2021;"86.3578";Евро
