nominal;data;curs;cdx
1;25.03.2022;"126.694";Фунт стерлингов Соединенного королевства
1;24.03.2022;"136.0395";Фунт стерлингов Соединенного королевства
1;23.03.2022;"138.0023";Фунт стерлингов Соединенного королевства
1;22.03.2022;"138.0021";Фунт стерлингов Соединенного королевства
1;19.03.2022;"136.3024";Фунт стерлингов Соединенного королевства
1;18.03.2022;"137.3839";Фунт стерлингов Соединенного королевства
1;17.03.2022;"141.3646";Фунт стерлингов Соединенного королевства
1;16.03.2022;"145.7631";Фунт стерлингов Соединенного королевства
1;15.03.2022;"151.5177";Фунт стерлингов Соединенного королевства
1;12.03.2022;"153.5635";Фунт стерлингов Соединенного королевства
1;11.03.2022;"158.3338";Фунт стерлингов Соединенного королевства
1;10.03.2022;"152.4773";Фунт стерлингов Соединенного королевства
1;05.03.2022;"140.9421";Фунт стерлингов Соединенного королевства
1;04.03.2022;"149.7424";Фунт стерлингов Соединенного королевства
1;03.03.2022;"137.2898";Фунт стерлингов Соединенного королевства
1;02.03.2022;"123.1411";Фунт стерлингов Соединенного королевства
1;01.03.2022;"125.0415";Фунт стерлингов Соединенного королевства
1;26.02.2022;"111.8213";Фунт стерлингов Соединенного королевства
1;25.02.2022;"117.1539";Фунт стерлингов Соединенного королевства
1;23.02.2022;"109.2015";Фунт стерлингов Соединенного королевства
1;22.02.2022;"104.6259";Фунт стерлингов Соединенного королевства
1;19.02.2022;"103.2786";Фунт стерлингов Соединенного королевства
1;18.02.2022;"102.8494";Фунт стерлингов Соединенного королевства
1;17.02.2022;"101.6891";Фунт стерлингов Соединенного королевства
1;16.02.2022;"103.2887";Фунт стерлингов Соединенного королевства
1;15.02.2022;"103.4621";Фунт стерлингов Соединенного королевства
1;12.02.2022;"101.6295";Фунт стерлингов Соединенного королевства
1;11.02.2022;"101.2736";Фунт стерлингов Соединенного королевства
1;10.02.2022;"101.4608";Фунт стерлингов Соединенного королевства
1;09.02.2022;"101.8791";Фунт стерлингов Соединенного королевства
1;08.02.2022;"102.464";Фунт стерлингов Соединенного королевства
1;05.02.2022;"103.2771";Фунт стерлингов Соединенного королевства
1;04.02.2022;"103.8762";Фунт стерлингов Соединенного королевства
1;03.02.2022;"103.5988";Фунт стерлингов Соединенного королевства
1;02.02.2022;"103.9175";Фунт стерлингов Соединенного королевства
1;01.02.2022;"104.1432";Фунт стерлингов Соединенного королевства
1;29.01.2022;"104.0808";Фунт стерлингов Соединенного королевства
1;28.01.2022;"105.8995";Фунт стерлингов Соединенного королевства
1;27.01.2022;"106.6135";Фунт стерлингов Соединенного королевства
1;26.01.2022;"106.0018";Фунт стерлингов Соединенного королевства
1;25.01.2022;"104.8449";Фунт стерлингов Соединенного королевства
1;22.01.2022;"103.9997";Фунт стерлингов Соединенного королевства
1;21.01.2022;"104.2041";Фунт стерлингов Соединенного королевства
1;20.01.2022;"104.4813";Фунт стерлингов Соединенного королевства
1;19.01.2022;"104.1816";Фунт стерлингов Соединенного королевства
1;18.01.2022;"104.0461";Фунт стерлингов Соединенного королевства
1;15.01.2022;"104.0505";Фунт стерлингов Соединенного королевства
1;14.01.2022;"102.4945";Фунт стерлингов Соединенного королевства
1;13.01.2022;"101.5663";Фунт стерлингов Соединенного королевства
1;12.01.2022;"101.9035";Фунт стерлингов Соединенного королевства
1;11.01.2022;"102.0436";Фунт стерлингов Соединенного королевства
1;31.12.2021;"100.0573";Фунт стерлингов Соединенного королевства
1;30.12.2021;"98.8254";Фунт стерлингов Соединенного королевства
1;29.12.2021;"98.7638";Фунт стерлингов Соединенного королевства
1;28.12.2021;"98.22";Фунт стерлингов Соединенного королевства
1;25.12.2021;"98.1459";Фунт стерлингов Соединенного королевства
1;24.12.2021;"98.1974";Фунт стерлингов Соединенного королевства
1;23.12.2021;"97.949";Фунт стерлингов Соединенного королевства
1;22.12.2021;"97.768";Фунт стерлингов Соединенного королевства
1;21.12.2021;"98.0987";Фунт стерлингов Соединенного королевства
1;18.12.2021;"98.2713";Фунт стерлингов Соединенного королевства
1;17.12.2021;"97.7903";Фунт стерлингов Соединенного королевства
1;16.12.2021;"97.9634";Фунт стерлингов Соединенного королевства
1;15.12.2021;"97.061";Фунт стерлингов Соединенного королевства
1;14.12.2021;"97.1884";Фунт стерлингов Соединенного королевства
1;11.12.2021;"97.2334";Фунт стерлингов Соединенного королевства
1;10.12.2021;"97.1517";Фунт стерлингов Соединенного королевства
1;09.12.2021;"97.7638";Фунт стерлингов Соединенного королевства
1;08.12.2021;"98.4578";Фунт стерлингов Соединенного королевства
1;07.12.2021;"97.6341";Фунт стерлингов Соединенного королевства
