nominal;data;curs;cdx
1;19.03.2022;"13.2903";Гонконгский доллар
1;18.03.2022;"13.406";Гонконгский доллар
1;17.03.2022;"13.8133";Гонконгский доллар
1;16.03.2022;"14.2438";Гонконгский доллар
1;15.03.2022;"14.7323";Гонконгский доллар
1;12.03.2022;"14.9312";Гонконгский доллар
1;11.03.2022;"15.395";Гонконгский доллар
1;10.03.2022;"14.8566";Гонконгский доллар
1;05.03.2022;"13.5362";Гонконгский доллар
1;04.03.2022;"14.3021";Гонконгский доллар
1;03.03.2022;"13.2101";Гонконгский доллар
1;02.03.2022;"11.7413";Гонконгский доллар
1;01.03.2022;"11.9737";Гонконгский доллар
1;26.02.2022;"10.7008";Гонконгский доллар
1;25.02.2022;"11.1339";Гонконгский доллар
1;23.02.2022;"10.3063";Гонконгский доллар
10;22.02.2022;"98.4042";Гонконгских долларов
10;19.02.2022;"97.1145";Гонконгских долларов
10;18.02.2022;"97.0915";Гонконгских долларов
10;17.02.2022;"96.1621";Гонконгских долларов
10;16.02.2022;"97.6074";Гонконгских долларов
10;15.02.2022;"98.1331";Гонконгских долларов
10;12.02.2022;"96.0949";Гонконгских долларов
10;11.02.2022;"95.88";Гонконгских долларов
10;10.02.2022;"95.983";Гонконгских долларов
10;09.02.2022;"96.5921";Гонконгских долларов
10;08.02.2022;"97.1161";Гонконгских долларов
10;05.02.2022;"97.615";Гонконгских долларов
10;04.02.2022;"98.3286";Гонконгских долларов
10;03.02.2022;"98.1331";Гонконгских долларов
10;02.02.2022;"98.9305";Гонконгских долларов
10;01.02.2022;"99.3488";Гонконгских долларов
10;29.01.2022;"99.8414";Гонконгских долларов
1;28.01.2022;"10.1334";Гонконгский доллар
1;27.01.2022;"10.1407";Гонконгский доллар
1;26.01.2022;"10.101";Гонконгский доллар
10;25.01.2022;"99.3718";Гонконгских долларов
10;22.01.2022;"98.4699";Гонконгских долларов
10;21.01.2022;"98.1508";Гонконгских долларов
10;20.01.2022;"98.6521";Гонконгских долларов
10;19.01.2022;"97.9604";Гонконгских долларов
10;18.01.2022;"97.6417";Гонконгских долларов
10;15.01.2022;"97.3278";Гонконгских долларов
10;14.01.2022;"95.7198";Гонконгских долларов
10;13.01.2022;"95.5986";Гонконгских долларов
10;12.01.2022;"95.986";Гонконгских долларов
10;11.01.2022;"96.3595";Гонконгских долларов
10;31.12.2021;"95.264";Гонконгских долларов
10;30.12.2021;"94.4709";Гонконгских долларов
10;29.12.2021;"94.2364";Гонконгских долларов
10;28.12.2021;"93.8787";Гонконгских долларов
10;25.12.2021;"93.8448";Гонконгских долларов
10;24.12.2021;"94.0732";Гонконгских долларов
10;23.12.2021;"94.6051";Гонконгских долларов
10;22.12.2021;"94.6515";Гонконгских долларов
10;21.12.2021;"95.2606";Гонконгских долларов
10;18.12.2021;"94.5101";Гонконгских долларов
10;17.12.2021;"94.2913";Гонконгских долларов
10;16.12.2021;"94.6601";Гонконгских долларов
10;15.12.2021;"94.1414";Гонконгских долларов
10;14.12.2021;"94.1235";Гонконгских долларов
10;11.12.2021;"94.369";Гонконгских долларов
10;10.12.2021;"94.3926";Гонконгских долларов
10;09.12.2021;"94.7062";Гонконгских долларов
10;08.12.2021;"95.0524";Гонконгских долларов
10;07.12.2021;"94.4552";Гонконгских долларов
