nominal;data;curs;cdx
100;16.03.2022;"33.0069";Венгерских форинтов
100;15.03.2022;"33.4868";Венгерских форинтов
100;12.03.2022;"33.939";Венгерских форинтов
100;11.03.2022;"34.9932";Венгерских форинтов
100;10.03.2022;"32.5687";Венгерских форинтов
100;05.03.2022;"30.4382";Венгерских форинтов
100;04.03.2022;"32.7453";Венгерских форинтов
100;03.03.2022;"30.2051";Венгерских форинтов
100;02.03.2022;"27.7437";Венгерских форинтов
100;01.03.2022;"28.0932";Венгерских форинтов
100;26.02.2022;"25.3947";Венгерских форинтов
100;25.02.2022;"26.9505";Венгерских форинтов
100;23.02.2022;"25.4843";Венгерских форинтов
100;22.02.2022;"24.5137";Венгерских форинтов
100;19.02.2022;"24.1703";Венгерских форинтов
100;18.02.2022;"24.2277";Венгерских форинтов
100;17.02.2022;"24.1494";Венгерских форинтов
100;16.02.2022;"24.2718";Венгерских форинтов
100;15.02.2022;"24.2648";Венгерских форинтов
100;12.02.2022;"24.1247";Венгерских форинтов
100;11.02.2022;"24.2143";Венгерских форинтов
100;10.02.2022;"24.208";Венгерских форинтов
100;09.02.2022;"24.3207";Венгерских форинтов
100;08.02.2022;"24.4759";Венгерских форинтов
100;05.02.2022;"24.5813";Венгерских форинтов
100;04.02.2022;"24.4155";Венгерских форинтов
100;03.02.2022;"24.3567";Венгерских форинтов
100;02.02.2022;"24.4098";Венгерских форинтов
100;01.02.2022;"24.1973";Венгерских форинтов
100;29.01.2022;"24.3411";Венгерских форинтов
100;28.01.2022;"24.5543";Венгерских форинтов
100;27.01.2022;"24.7958";Венгерских форинтов
100;26.01.2022;"24.5891";Венгерских форинтов
100;25.01.2022;"24.4015";Венгерских форинтов
100;22.01.2022;"24.35";Венгерских форинтов
100;21.01.2022;"24.3834";Венгерских форинтов
100;20.01.2022;"24.3382";Венгерских форинтов
100;19.01.2022;"24.4103";Венгерских форинтов
100;18.01.2022;"24.3786";Венгерских форинтов
100;15.01.2022;"24.5125";Венгерских форинтов
100;14.01.2022;"24.1213";Венгерских форинтов
100;13.01.2022;"23.7504";Венгерских форинтов
100;12.01.2022;"23.7148";Венгерских форинтов
100;11.01.2022;"23.7608";Венгерских форинтов
100;31.12.2021;"22.7476";Венгерских форинтов
100;30.12.2021;"22.4976";Венгерских форинтов
100;29.12.2021;"22.4961";Венгерских форинтов
100;28.12.2021;"22.4537";Венгерских форинтов
100;25.12.2021;"22.4147";Венгерских форинтов
100;24.12.2021;"22.5718";Венгерских форинтов
100;23.12.2021;"22.6611";Венгерских форинтов
100;22.12.2021;"22.6645";Венгерских форинтов
100;21.12.2021;"22.7982";Венгерских форинтов
100;18.12.2021;"22.6846";Венгерских форинтов
100;17.12.2021;"22.5228";Венгерских форинтов
100;16.12.2021;"22.6329";Венгерских форинтов
100;15.12.2021;"22.5478";Венгерских форинтов
100;14.12.2021;"22.6416";Венгерских форинтов
100;11.12.2021;"22.7414";Венгерских форинтов
100;10.12.2021;"22.8486";Венгерских форинтов
100;09.12.2021;"22.6965";Венгерских форинтов
100;08.12.2021;"22.9319";Венгерских форинтов
100;07.12.2021;"22.8365";Венгерских форинтов
