nominal;data;curs;cdx
100;19.03.2022;"87.0878";Японских иен
100;18.03.2022;"88.2128";Японских иен
100;17.03.2022;"91.3567";Японских иен
100;16.03.2022;"94.4845";Японских иен
100;15.03.2022;"99.4486";Японских иен
10;12.03.2022;"10.0791";Японских иен
10;11.03.2022;"10.3922";Японских иен
10;10.03.2022;"10.0532";Японских иен
100;05.03.2022;"91.6402";Японских иен
100;04.03.2022;"96.529";Японских иен
100;03.03.2022;"89.6062";Японских иен
100;02.03.2022;"79.7962";Японских иен
100;01.03.2022;"80.9718";Японских иен
100;26.02.2022;"72.4776";Японских иен
100;25.02.2022;"75.7582";Японских иен
100;23.02.2022;"70.0182";Японских иен
100;22.02.2022;"66.7859";Японских иен
100;19.02.2022;"65.7912";Японских иен
100;18.02.2022;"65.8061";Японских иен
100;17.02.2022;"64.8098";Японских иен
100;16.02.2022;"65.9246";Японских иен
100;15.02.2022;"66.4782";Японских иен
100;12.02.2022;"64.6326";Японских иен
100;11.02.2022;"64.6402";Японских иен
100;10.02.2022;"64.8446";Японских иен
100;09.02.2022;"65.2691";Японских иен
100;08.02.2022;"65.7378";Японских иен
100;05.02.2022;"66.0766";Японских иен
100;04.02.2022;"66.8412";Японских иен
100;03.02.2022;"66.7786";Японских иен
100;02.02.2022;"67.0552";Японских иен
100;01.02.2022;"67.1523";Японских иен
100;29.01.2022;"67.3423";Японских иен
100;28.01.2022;"68.7422";Японских иен
100;27.01.2022;"69.2033";Японских иен
100;26.01.2022;"69.0844";Японских иен
100;25.01.2022;"68.046";Японских иен
100;22.01.2022;"67.3165";Японских иен
100;21.01.2022;"66.851";Японских иен
100;20.01.2022;"67.1967";Японских иен
100;19.01.2022;"66.5429";Японских иен
100;18.01.2022;"66.5067";Японских иен
100;15.01.2022;"66.5935";Японских иен
100;14.01.2022;"65.1624";Японских иен
100;13.01.2022;"64.5905";Японских иен
100;12.01.2022;"64.936";Японских иен
100;11.01.2022;"64.9168";Японских иен
100;31.12.2021;"64.5097";Японских иен
100;30.12.2021;"64.0614";Японских иен
100;29.12.2021;"63.9902";Японских иен
100;28.12.2021;"63.917";Японских иен
100;25.12.2021;"63.9788";Японских иен
100;24.12.2021;"64.1833";Японских иен
100;23.12.2021;"64.5554";Японских иен
100;22.12.2021;"64.9915";Японских иен
100;21.12.2021;"65.4377";Японских иен
100;18.12.2021;"64.9058";Японских иен
100;17.12.2021;"64.4595";Японских иен
100;16.12.2021;"64.9582";Японских иен
100;15.12.2021;"64.6258";Японских иен
100;14.12.2021;"64.6079";Японских иен
100;11.12.2021;"64.7882";Японских иен
100;10.12.2021;"64.8656";Японских иен
100;09.12.2021;"65.0362";Японских иен
100;08.12.2021;"65.2267";Японских иен
100;07.12.2021;"65.1106";Японских иен
