nominal;data;curs;cdx
100;25.03.2022;"97.1747";Киргизских сомов
10;24.03.2022;"10.1916";Киргизских сомов
10;23.03.2022;"10.2599";Киргизских сомов
10;22.03.2022;"10.1687";Киргизских сомов
10;19.03.2022;"10.0979";Киргизских сомов
10;18.03.2022;"10.0406";Киргизских сомов
10;17.03.2022;"10.3915";Киргизских сомов
10;16.03.2022;"10.8235";Киргизских сомов
10;15.03.2022;"11.0309";Киргизских сомов
10;12.03.2022;"11.9527";Киргизских сомов
10;11.03.2022;"12.3281";Киргизских сомов
10;10.03.2022;"11.8824";Киргизских сомов
10;05.03.2022;"10.9465";Киргизских сомов
10;04.03.2022;"11.6802";Киргизских сомов
10;03.03.2022;"10.8736";Киргизских сомов
10;02.03.2022;"10.7936";Киргизских сомов
10;01.03.2022;"11.0069";Киргизских сомов
100;26.02.2022;"98.4926";Киргизских сомов
10;25.02.2022;"10.2478";Киргизских сомов
100;23.02.2022;"94.8038";Киргизских сомов
100;22.02.2022;"90.4982";Киргизских сомов
100;19.02.2022;"89.3132";Киргизских сомов
100;18.02.2022;"89.3039";Киргизских сомов
100;17.02.2022;"88.4373";Киргизских сомов
100;16.02.2022;"89.7958";Киргизских сомов
100;15.02.2022;"90.2896";Киргизских сомов
100;12.02.2022;"88.3994";Киргизских сомов
100;11.02.2022;"88.0898";Киргизских сомов
100;10.02.2022;"88.1899";Киргизских сомов
100;09.02.2022;"88.7745";Киргизских сомов
100;08.02.2022;"89.2174";Киргизских сомов
100;05.02.2022;"89.6774";Киргизских сомов
100;04.02.2022;"90.3672";Киргизских сомов
100;03.02.2022;"90.1694";Киргизских сомов
100;02.02.2022;"90.929";Киргизских сомов
100;01.02.2022;"91.3279";Киргизских сомов
100;29.01.2022;"91.7386";Киргизских сомов
100;28.01.2022;"93.0749";Киргизских сомов
100;27.01.2022;"93.0709";Киргизских сомов
100;26.01.2022;"92.7155";Киргизских сомов
100;25.01.2022;"91.2069";Киргизских сомов
100;22.01.2022;"90.427";Киргизских сомов
100;21.01.2022;"90.116";Киргизских сомов
100;20.01.2022;"90.6315";Киргизских сомов
100;19.01.2022;"90.0097";Киргизских сомов
100;18.01.2022;"89.6625";Киргизских сомов
100;15.01.2022;"89.3193";Киргизских сомов
100;14.01.2022;"87.9191";Киргизских сомов
100;13.01.2022;"87.8703";Киргизских сомов
100;12.01.2022;"88.2211";Киргизских сомов
100;11.01.2022;"88.5701";Киргизских сомов
100;31.12.2021;"87.5906";Киргизских сомов
100;30.12.2021;"86.8252";Киргизских сомов
100;29.12.2021;"86.6419";Киргизских сомов
100;28.12.2021;"86.3407";Киргизских сомов
100;25.12.2021;"86.2885";Киргизских сомов
100;24.12.2021;"86.4816";Киргизских сомов
100;23.12.2021;"86.9931";Киргизских сомов
100;22.12.2021;"87.0262";Киргизских сомов
100;21.12.2021;"87.5842";Киргизских сомов
100;18.12.2021;"86.9322";Киргизских сомов
100;17.12.2021;"86.7373";Киргизских сомов
100;16.12.2021;"87.0634";Киргизских сомов
100;15.12.2021;"86.6121";Киргизских сомов
100;14.12.2021;"86.5582";Киргизских сомов
100;11.12.2021;"86.8476";Киргизских сомов
100;10.12.2021;"86.7652";Киргизских сомов
100;09.12.2021;"87.0568";Киргизских сомов
100;08.12.2021;"87.4071";Киргизских сомов
100;07.12.2021;"86.852";Киргизских сомов
