nominal;data;curs;cdx
1000;16.03.2022;"89.7025";Вон Республики Корея
1000;15.03.2022;"92.7618";Вон Республики Корея
1000;12.03.2022;"94.7891";Вон Республики Корея
1000;11.03.2022;"97.9962";Вон Республики Корея
1000;10.03.2022;"95.6445";Вон Республики Корея
1000;05.03.2022;"87.0382";Вон Республики Корея
1000;04.03.2022;"92.6474";Вон Республики Корея
1000;03.03.2022;"85.6186";Вон Республики Корея
1000;02.03.2022;"76.5619";Вон Республики Корея
1000;01.03.2022;"77.7626";Вон Республики Корея
1000;26.02.2022;"69.368";Вон Республики Корея
1000;25.02.2022;"72.2627";Вон Республики Корея
1000;23.02.2022;"67.4328";Вон Республики Корея
1000;22.02.2022;"64.4885";Вон Республики Корея
1000;19.02.2022;"63.4514";Вон Республики Корея
1000;18.02.2022;"63.2841";Вон Республики Корея
1000;17.02.2022;"62.72";Вон Республики Корея
1000;16.02.2022;"63.589";Вон Республики Корея
1000;15.02.2022;"64.0473";Вон Республики Корея
1000;12.02.2022;"62.7039";Вон Республики Корея
1000;11.02.2022;"62.5126";Вон Республики Корея
1000;10.02.2022;"62.5614";Вон Республики Корея
1000;09.02.2022;"62.8087";Вон Республики Корея
1000;08.02.2022;"63.0595";Вон Республики Корея
1000;05.02.2022;"63.4969";Вон Республики Корея
1000;04.02.2022;"63.6679";Вон Республики Корея
1000;03.02.2022;"63.5851";Вон Республики Корея
1000;02.02.2022;"64.1048";Вон Республики Корея
1000;01.02.2022;"64.0771";Вон Республики Корея
1000;29.01.2022;"64.2309";Вон Республики Корея
1000;28.01.2022;"65.5706";Вон Республики Корея
1000;27.01.2022;"65.9174";Вон Республики Корея
1000;26.01.2022;"65.6383";Вон Республики Корея
1000;25.01.2022;"64.7123";Вон Республики Корея
1000;22.01.2022;"64.3418";Вон Республики Корея
1000;21.01.2022;"64.2897";Вон Республики Корея
1000;20.01.2022;"64.4672";Вон Республики Корея
1000;19.01.2022;"64.1174";Вон Республики Корея
1000;18.01.2022;"63.745";Вон Республики Корея
1000;15.01.2022;"63.8485";Вон Республики Корея
1000;14.01.2022;"62.9409";Вон Республики Корея
1000;13.01.2022;"62.5214";Вон Республики Корея
1000;12.01.2022;"62.7073";Вон Республики Корея
1000;11.01.2022;"62.7222";Вон Республики Корея
1000;31.12.2021;"62.4483";Вон Республики Корея
1000;30.12.2021;"62.0507";Вон Республики Корея
1000;29.12.2021;"61.8548";Вон Республики Корея
1000;28.12.2021;"61.7296";Вон Республики Корея
1000;25.12.2021;"61.6935";Вон Республики Корея
1000;24.12.2021;"61.8043";Вон Республики Корея
1000;23.12.2021;"61.8985";Вон Республики Корея
1000;22.12.2021;"61.8882";Вон Республики Корея
1000;21.12.2021;"62.334";Вон Республики Корея
1000;18.12.2021;"62.2267";Вон Республики Корея
1000;17.12.2021;"62.1467";Вон Республики Корея
1000;16.12.2021;"62.269";Вон Республики Корея
1000;15.12.2021;"62.1191";Вон Республики Корея
1000;14.12.2021;"62.1048";Вон Республики Корея
1000;11.12.2021;"62.3";Вон Республики Корея
1000;10.12.2021;"62.6147";Вон Республики Корея
1000;09.12.2021;"62.7078";Вон Республики Корея
1000;08.12.2021;"62.9729";Вон Республики Корея
1000;07.12.2021;"62.349";Вон Республики Корея
