nominal;data;curs;cdx
100;19.03.2022;"20.4893";Казахстанских тенге
100;18.03.2022;"20.6141";Казахстанских тенге
100;17.03.2022;"21.2006";Казахстанских тенге
100;16.03.2022;"21.7075";Казахстанских тенге
100;15.03.2022;"22.4903";Казахстанских тенге
100;12.03.2022;"22.8376";Казахстанских тенге
100;11.03.2022;"23.1488";Казахстанских тенге
100;10.03.2022;"23.0647";Казахстанских тенге
100;05.03.2022;"21.0524";Казахстанских тенге
100;04.03.2022;"22.5809";Казахстанских тенге
100;03.03.2022;"20.9806";Казахстанских тенге
100;02.03.2022;"18.6621";Казахстанских тенге
100;01.03.2022;"18.8393";Казахстанских тенге
100;26.02.2022;"18.0019";Казахстанских тенге
100;25.02.2022;"18.5306";Казахстанских тенге
100;23.02.2022;"18.4681";Казахстанских тенге
100;22.02.2022;"17.953";Казахстанских тенге
100;19.02.2022;"17.6931";Казахстанских тенге
100;18.02.2022;"17.6786";Казахстанских тенге
100;17.02.2022;"17.5533";Казахстанских тенге
100;16.02.2022;"17.6945";Казахстанских тенге
100;15.02.2022;"17.765";Казахстанских тенге
100;12.02.2022;"17.4631";Казахстанских тенге
100;11.02.2022;"17.5018";Казахстанских тенге
100;10.02.2022;"17.559";Казахстанских тенге
100;09.02.2022;"17.5965";Казахстанских тенге
100;08.02.2022;"17.5695";Казахстанских тенге
100;05.02.2022;"17.5942";Казахстанских тенге
100;04.02.2022;"17.6308";Казахстанских тенге
100;03.02.2022;"17.6253";Казахстанских тенге
100;02.02.2022;"17.7719";Казахстанских тенге
100;01.02.2022;"17.8379";Казахстанских тенге
100;29.01.2022;"17.8808";Казахстанских тенге
100;28.01.2022;"18.1675";Казахстанских тенге
100;27.01.2022;"18.1167";Казахстанских тенге
100;26.01.2022;"18.0165";Казахстанских тенге
100;25.01.2022;"17.7402";Казахстанских тенге
100;22.01.2022;"17.5815";Казахстанских тенге
100;21.01.2022;"17.5323";Казахстанских тенге
100;20.01.2022;"17.5964";Казахстанских тенге
100;19.01.2022;"17.52";Казахстанских тенге
100;18.01.2022;"17.4625";Казахстанских тенге
100;15.01.2022;"17.3677";Казахстанских тенге
100;14.01.2022;"17.1442";Казахстанских тенге
100;13.01.2022;"17.1367";Казахстанских тенге
100;12.01.2022;"17.1858";Казахстанских тенге
100;11.01.2022;"17.2328";Казахстанских тенге
100;31.12.2021;"16.9";Казахстанских тенге
100;30.12.2021;"16.9158";Казахстанских тенге
100;29.12.2021;"16.9248";Казахстанских тенге
100;28.12.2021;"16.8993";Казахстанских тенге
100;25.12.2021;"16.9007";Казахстанских тенге
100;24.12.2021;"16.8137";Казахстанских тенге
100;23.12.2021;"16.9146";Казахстанских тенге
100;22.12.2021;"16.8598";Казахстанских тенге
100;21.12.2021;"16.9121";Казахстанских тенге
100;18.12.2021;"16.8359";Казахстанских тенге
100;17.12.2021;"16.7989";Казахстанских тенге
100;16.12.2021;"16.8398";Казахстанских тенге
100;15.12.2021;"16.7912";Казахстанских тенге
100;14.12.2021;"16.8373";Казахстанских тенге
100;11.12.2021;"16.8531";Казахстанских тенге
100;10.12.2021;"16.902";Казахстанских тенге
100;09.12.2021;"16.9002";Казахстанских тенге
100;08.12.2021;"16.9773";Казахстанских тенге
100;07.12.2021;"16.8214";Казахстанских тенге
