nominal;data;curs;cdx
10;25.03.2022;"52.2815";Молдавских леев
10;24.03.2022;"56.0814";Молдавских леев
10;23.03.2022;"56.4393";Молдавских леев
10;22.03.2022;"56.7228";Молдавских леев
10;19.03.2022;"56.3351";Молдавских леев
10;18.03.2022;"56.8028";Молдавских леев
10;17.03.2022;"58.5807";Молдавских леев
10;16.03.2022;"60.465";Молдавских леев
10;15.03.2022;"62.5217";Молдавских леев
10;12.03.2022;"63.4175";Молдавских леев
10;11.03.2022;"65.4231";Молдавских леев
10;10.03.2022;"63.2507";Молдавских леев
10;05.03.2022;"57.585";Молдавских леев
10;04.03.2022;"60.8198";Молдавских леев
10;03.03.2022;"56.1134";Молдавских леев
10;02.03.2022;"49.8618";Молдавских леев
10;01.03.2022;"50.8472";Молдавских леев
10;26.02.2022;"45.6549";Молдавских леев
10;25.02.2022;"48.16";Молдавских леев
10;23.02.2022;"44.9145";Молдавских леев
10;22.02.2022;"42.7641";Молдавских леев
10;19.02.2022;"42.1133";Молдавских леев
10;18.02.2022;"42.1199";Молдавских леев
10;17.02.2022;"41.7906";Молдавских леев
10;16.02.2022;"42.5508";Молдавских леев
10;15.02.2022;"42.8998";Молдавских леев
10;12.02.2022;"42.1274";Молдавских леев
10;11.02.2022;"41.8625";Молдавских леев
10;10.02.2022;"41.8353";Молдавских леев
10;09.02.2022;"42.0182";Молдавских леев
10;08.02.2022;"42.2797";Молдавских леев
10;05.02.2022;"42.3682";Молдавских леев
10;04.02.2022;"42.4654";Молдавских леев
10;03.02.2022;"42.3739";Молдавских леев
10;02.02.2022;"42.8026";Молдавских леев
10;01.02.2022;"43.039";Молдавских леев
10;29.01.2022;"43.3523";Молдавских леев
10;28.01.2022;"44.0307";Молдавских леев
10;27.01.2022;"44.1643";Молдавских леев
10;26.01.2022;"43.8118";Молдавских леев
10;25.01.2022;"42.9209";Молдавских леев
10;22.01.2022;"42.4055";Молдавских леев
10;21.01.2022;"42.2675";Молдавских леев
10;20.01.2022;"42.5871";Молдавских леев
10;19.01.2022;"42.2907";Молдавских леев
10;18.01.2022;"42.2681";Молдавских леев
10;15.01.2022;"42.0459";Молдавских леев
10;14.01.2022;"41.4616";Молдавских леев
10;13.01.2022;"41.4043";Молдавских леев
10;12.01.2022;"41.6679";Молдавских леев
10;11.01.2022;"41.9378";Молдавских леев
10;31.12.2021;"41.855";Молдавских леев
10;30.12.2021;"41.4937";Молдавских леев
10;29.12.2021;"41.4061";Молдавских леев
10;28.12.2021;"41.1074";Молдавских леев
10;25.12.2021;"41.0595";Молдавских леев
10;24.12.2021;"41.2311";Молдавских леев
10;23.12.2021;"41.3738";Молдавских леев
10;22.12.2021;"41.4722";Молдавских леев
10;21.12.2021;"41.7855";Молдавских леев
10;18.12.2021;"41.5397";Молдавских леев
10;17.12.2021;"41.4483";Молдавских леев
10;16.12.2021;"41.6062";Молдавских леев
10;15.12.2021;"41.3914";Молдавских леев
10;14.12.2021;"41.5167";Молдавских леев
10;11.12.2021;"41.5853";Молдавских леев
10;10.12.2021;"41.6753";Молдавских леев
10;09.12.2021;"41.8712";Молдавских леев
10;08.12.2021;"42.0652";Молдавских леев
10;07.12.2021;"41.7154";Молдавских леев
