nominal;data;curs;cdx
1;25.03.2022;"11.1117";Норвежская крона
1;24.03.2022;"11.7561";Норвежская крона
1;23.03.2022;"11.9318";Норвежская крона
1;22.03.2022;"11.9719";Норвежская крона
1;19.03.2022;"11.8136";Норвежская крона
1;18.03.2022;"11.8646";Норвежская крона
1;17.03.2022;"12.1311";Норвежская крона
1;16.03.2022;"12.43";Норвежская крона
1;15.03.2022;"12.8646";Норвежская крона
1;12.03.2022;"13.0383";Норвежская крона
1;11.03.2022;"13.4434";Норвежская крона
1;10.03.2022;"12.9119";Норвежская крона
1;05.03.2022;"11.8762";Норвежская крона
1;04.03.2022;"12.5874";Норвежская крона
1;03.03.2022;"11.5856";Норвежская крона
1;02.03.2022;"10.4292";Норвежская крона
1;01.03.2022;"10.4927";Норвежская крона
10;26.02.2022;"92.9628";Норвежских крон
10;25.02.2022;"96.8976";Норвежских крон
10;23.02.2022;"89.8521";Норвежских крон
10;22.02.2022;"85.8145";Норвежских крон
10;19.02.2022;"85.1229";Норвежских крон
10;18.02.2022;"85.0428";Норвежских крон
10;17.02.2022;"84.224";Норвежских крон
10;16.02.2022;"86.0516";Норвежских крон
10;15.02.2022;"85.975";Норвежских крон
10;12.02.2022;"84.9486";Норвежских крон
10;11.02.2022;"84.8308";Норвежских крон
10;10.02.2022;"84.8522";Норвежских крон
10;09.02.2022;"85.572";Норвежских крон
10;08.02.2022;"85.9431";Норвежских крон
10;05.02.2022;"87.2203";Норвежских крон
10;04.02.2022;"86.9305";Норвежских крон
10;03.02.2022;"86.7884";Норвежских крон
10;02.02.2022;"87.1449";Норвежских крон
10;01.02.2022;"86.5038";Норвежских крон
10;29.01.2022;"86.6554";Норвежских крон
10;28.01.2022;"88.0987";Норвежских крон
10;27.01.2022;"88.8046";Норвежских крон
10;26.01.2022;"87.1797";Норвежских крон
10;25.01.2022;"86.7903";Норвежских крон
10;22.01.2022;"86.796";Норвежских крон
10;21.01.2022;"87.2214";Норвежских крон
10;20.01.2022;"87.3887";Норвежских крон
10;19.01.2022;"87.1112";Норвежских крон
10;18.01.2022;"86.9282";Норвежских крон
10;15.01.2022;"87.3533";Норвежских крон
10;14.01.2022;"86.3312";Норвежских крон
10;13.01.2022;"85.0074";Норвежских крон
10;12.01.2022;"84.7831";Норвежских крон
10;11.01.2022;"84.95";Норвежских крон
10;31.12.2021;"84.2568";Норвежских крон
10;30.12.2021;"83.4861";Норвежских крон
10;29.12.2021;"83.1721";Норвежских крон
10;28.12.2021;"82.3702";Норвежских крон
10;25.12.2021;"83.0236";Норвежских крон
10;24.12.2021;"82.7244";Норвежских крон
10;23.12.2021;"82.678";Норвежских крон
10;22.12.2021;"81.822";Норвежских крон
10;21.12.2021;"81.8305";Норвежских крон
10;18.12.2021;"82.066";Норвежских крон
10;17.12.2021;"81.6909";Норвежских крон
10;16.12.2021;"81.2308";Норвежских крон
10;15.12.2021;"81.0889";Норвежских крон
10;14.12.2021;"81.8786";Норвежских крон
10;11.12.2021;"81.8653";Норвежских крон
10;10.12.2021;"82.4953";Норвежских крон
10;09.12.2021;"82.1352";Норвежских крон
10;08.12.2021;"81.9588";Норвежских крон
10;07.12.2021;"80.383";Норвежских крон
