nominal;data;curs;cdx
1;16.03.2022;"25.866";Польский злотый
1;15.03.2022;"26.4145";Польский злотый
1;12.03.2022;"26.7712";Польский злотый
1;11.03.2022;"27.6028";Польский злотый
1;10.03.2022;"25.7308";Польский злотый
1;05.03.2022;"24.1042";Польский злотый
1;04.03.2022;"25.9832";Польский злотый
1;03.03.2022;"23.9002";Польский злотый
1;02.03.2022;"21.9288";Польский злотый
1;01.03.2022;"22.2151";Польский злотый
1;26.02.2022;"20.0505";Польский злотый
1;25.02.2022;"21.1434";Польский злотый
1;23.02.2022;"20.0243";Польский злотый
1;22.02.2022;"19.3241";Польский злотый
1;19.02.2022;"19.0371";Польский злотый
1;18.02.2022;"19.1169";Польский злотый
1;17.02.2022;"19.0208";Польский злотый
1;16.02.2022;"19.1252";Польский злотый
1;15.02.2022;"18.9138";Польский злотый
1;12.02.2022;"18.9112";Польский злотый
1;11.02.2022;"19.0273";Польский злотый
1;10.02.2022;"18.9184";Польский злотый
1;09.02.2022;"18.9654";Польский злотый
1;08.02.2022;"19.0224";Польский злотый
1;05.02.2022;"19.1777";Польский злотый
1;04.02.2022;"19.0729";Польский злотый
1;03.02.2022;"18.9615";Польский злотый
1;02.02.2022;"18.9486";Польский злотый
1;01.02.2022;"18.8735";Польский злотый
1;29.01.2022;"18.9808";Польский злотый
1;28.01.2022;"19.2775";Польский злотый
1;27.01.2022;"19.4361";Польский злотый
1;26.01.2022;"19.4231";Польский злотый
1;25.01.2022;"19.3369";Польский злотый
1;22.01.2022;"19.2264";Польский злотый
1;21.01.2022;"19.2125";Польский злотый
1;20.01.2022;"19.1848";Польский злотый
1;19.01.2022;"19.2318";Польский злотый
1;18.01.2022;"19.1755";Польский злотый
1;15.01.2022;"19.1417";Польский злотый
1;14.01.2022;"18.8906";Польский злотый
1;13.01.2022;"18.6599";Польский злотый
1;12.01.2022;"18.7103";Польский злотый
1;11.01.2022;"18.7276";Польский злотый
1;31.12.2021;"18.296";Польский злотый
1;30.12.2021;"18.0922";Польский злотый
1;29.12.2021;"18.0784";Польский злотый
1;28.12.2021;"17.9699";Польский злотый
1;25.12.2021;"17.9327";Польский злотый
1;24.12.2021;"17.9452";Польский злотый
1;23.12.2021;"18.0116";Польский злотый
1;22.12.2021;"18.0455";Польский злотый
1;21.12.2021;"18.027";Польский злотый
1;18.12.2021;"18.0625";Польский злотый
1;17.12.2021;"17.9722";Польский злотый
1;16.12.2021;"18.0428";Польский злотый
1;15.12.2021;"17.8607";Польский злотый
1;14.12.2021;"17.9537";Польский злотый
1;11.12.2021;"18.0239";Польский злотый
1;10.12.2021;"18.0688";Польский злотый
1;09.12.2021;"18.1576";Польский злотый
1;08.12.2021;"18.2193";Польский злотый
1;07.12.2021;"18.1033";Польский злотый
