nominal;data;curs;cdx
1;25.03.2022;"21.3123";Румынский лей
1;24.03.2022;"22.8913";Румынский лей
1;23.03.2022;"23.2039";Румынский лей
1;22.03.2022;"23.3665";Румынский лей
1;19.03.2022;"23.1195";Румынский лей
1;18.03.2022;"23.435";Румынский лей
1;17.03.2022;"24.0046";Румынский лей
1;16.03.2022;"24.7458";Румынский лей
1;15.03.2022;"25.71";Румынский лей
1;12.03.2022;"26.0572";Румынский лей
1;11.03.2022;"26.8666";Румынский лей
1;10.03.2022;"25.517";Румынский лей
1;05.03.2022;"23.5515";Румынский лей
1;04.03.2022;"25.0564";Румынский лей
1;03.03.2022;"23.153";Румынский лей
1;02.03.2022;"20.7899";Румынский лей
1;01.03.2022;"21.1342";Румынский лей
1;26.02.2022;"18.8759";Румынский лей
1;25.02.2022;"19.7637";Румынский лей
1;23.02.2022;"18.4123";Румынский лей
1;22.02.2022;"17.6622";Румынский лей
1;19.02.2022;"17.4298";Румынский лей
1;18.02.2022;"17.4152";Румынский лей
1;17.02.2022;"17.2859";Румынский лей
1;16.02.2022;"17.4677";Румынский лей
1;15.02.2022;"17.528";Румынский лей
1;12.02.2022;"17.2776";Румынский лей
1;11.02.2022;"17.2729";Румынский лей
1;10.02.2022;"17.28";Румынский лей
1;09.02.2022;"17.3608";Румынский лей
1;08.02.2022;"17.511";Румынский лей
1;05.02.2022;"17.5999";Румынский лей
1;04.02.2022;"17.5068";Румынский лей
1;03.02.2022;"17.4623";Румынский лей
1;02.02.2022;"17.5559";Румынский лей
1;01.02.2022;"17.5153";Румынский лей
1;29.01.2022;"17.5087";Румынский лей
1;28.01.2022;"17.8799";Румынский лей
1;27.01.2022;"18.0331";Румынский лей
1;26.01.2022;"17.9914";Румынский лей
1;25.01.2022;"17.7109";Румынский лей
1;22.01.2022;"17.5847";Румынский лей
1;21.01.2022;"17.5645";Румынский лей
1;20.01.2022;"17.6173";Румынский лей
1;19.01.2022;"17.6053";Румынский лей
1;18.01.2022;"17.5796";Румынский лей
1;15.01.2022;"17.5789";Румынский лей
1;14.01.2022;"17.3057";Румынский лей
1;13.01.2022;"17.121";Румынский лей
1;12.01.2022;"17.1684";Румынский лей
1;11.01.2022;"17.2099";Румынский лей
1;31.12.2021;"16.9719";Румынский лей
1;30.12.2021;"16.792";Румынский лей
1;29.12.2021;"16.8202";Румынский лей
1;28.12.2021;"16.7447";Румынский лей
1;25.12.2021;"16.7583";Румынский лей
1;24.12.2021;"16.7841";Румынский лей
1;23.12.2021;"16.8083";Румынский лей
1;22.12.2021;"16.8509";Румынский лей
1;21.12.2021;"16.8951";Румынский лей
1;18.12.2021;"16.8749";Румынский лей
1;17.12.2021;"16.7985";Румынский лей
1;16.12.2021;"16.8183";Румынский лей
1;15.12.2021;"16.7433";Румынский лей
1;14.12.2021;"16.7463";Румынский лей
1;11.12.2021;"16.7916";Румынский лей
1;10.12.2021;"16.829";Румынский лей
1;09.12.2021;"16.842";Румынский лей
1;08.12.2021;"16.9219";Румынский лей
1;07.12.2021;"16.8068";Румынский лей
