nominal;data;curs;cdx
1;19.03.2022;"10.9645";Шведская крона
1;18.03.2022;"11.086";Шведская крона
1;17.03.2022;"11.399";Шведская крона
1;16.03.2022;"11.6305";Шведская крона
1;15.03.2022;"11.8163";Шведская крона
1;12.03.2022;"11.9759";Шведская крона
1;11.03.2022;"12.3479";Шведская крона
1;10.03.2022;"11.6952";Шведская крона
1;05.03.2022;"10.8106";Шведская крона
1;04.03.2022;"11.5225";Шведская крона
1;03.03.2022;"10.6411";Шведская крона
10;02.03.2022;"96.7925";Шведских крон
10;01.03.2022;"98.1669";Шведских крон
10;26.02.2022;"87.6083";Шведских крон
10;25.02.2022;"91.4588";Шведских крон
10;23.02.2022;"85.6756";Шведских крон
10;22.02.2022;"82.0845";Шведских крон
10;19.02.2022;"81.4679";Шведских крон
10;18.02.2022;"81.3696";Шведских крон
10;17.02.2022;"80.9991";Шведских крон
10;16.02.2022;"81.8725";Шведских крон
10;15.02.2022;"81.5995";Шведских крон
10;12.02.2022;"80.8029";Шведских крон
10;11.02.2022;"82.1243";Шведских крон
10;10.02.2022;"81.9419";Шведских крон
10;09.02.2022;"82.4294";Шведских крон
10;08.02.2022;"82.7409";Шведских крон
10;05.02.2022;"83.5724";Шведских крон
10;04.02.2022;"83.2384";Шведских крон
10;03.02.2022;"82.9716";Шведских крон
10;02.02.2022;"83.0473";Шведских крон
10;01.02.2022;"82.5944";Шведских крон
10;29.01.2022;"82.5054";Шведских крон
10;28.01.2022;"84.3073";Шведских крон
10;27.01.2022;"85.257";Шведских крон
10;26.01.2022;"84.7638";Шведских крон
10;25.01.2022;"84.0402";Шведских крон
10;22.01.2022;"83.537";Шведских крон
10;21.01.2022;"83.916";Шведских крон
10;20.01.2022;"84.0942";Шведских крон
10;19.01.2022;"84.4579";Шведских крон
10;18.01.2022;"84.3506";Шведских крон
10;15.01.2022;"84.8186";Шведских крон
10;14.01.2022;"83.674";Шведских крон
10;13.01.2022;"82.4002";Шведских крон
10;12.01.2022;"82.4579";Шведских крон
10;11.01.2022;"82.6338";Шведских крон
10;31.12.2021;"82.1512";Шведских крон
10;30.12.2021;"81.1264";Шведских крон
10;29.12.2021;"81.0569";Шведских крон
10;28.12.2021;"80.1297";Шведских крон
10;25.12.2021;"80.7572";Шведских крон
10;24.12.2021;"80.4773";Шведских крон
10;23.12.2021;"80.6317";Шведских крон
10;22.12.2021;"80.816";Шведских крон
10;21.12.2021;"81.2204";Шведских крон
10;18.12.2021;"81.5297";Шведских крон
10;17.12.2021;"81.0751";Шведских крон
10;16.12.2021;"80.8954";Шведских крон
10;15.12.2021;"80.776";Шведских крон
10;14.12.2021;"80.7723";Шведских крон
10;11.12.2021;"81.154";Шведских крон
10;10.12.2021;"81.1733";Шведских крон
10;09.12.2021;"81.3086";Шведских крон
10;08.12.2021;"81.7626";Шведских крон
10;07.12.2021;"80.6929";Шведских крон
