nominal;data;curs;cdx
1;25.03.2022;"70.7207";Сингапурский доллар
1;24.03.2022;"75.9604";Сингапурский доллар
1;23.03.2022;"76.7112";Сингапурский доллар
1;22.03.2022;"77.2275";Сингапурский доллар
1;19.03.2022;"76.5313";Сингапурский доллар
1;18.03.2022;"77.3212";Сингапурский доллар
1;17.03.2022;"79.3742";Сингапурский доллар
1;16.03.2022;"81.678";Сингапурский доллар
1;15.03.2022;"84.7593";Сингапурский доллар
1;12.03.2022;"85.9037";Сингапурский доллар
1;11.03.2022;"88.5722";Сингапурский доллар
1;10.03.2022;"85.025";Сингапурский доллар
1;05.03.2022;"77.8376";Сингапурский доллар
1;04.03.2022;"82.3373";Сингапурский доллар
1;03.03.2022;"75.9852";Сингапурский доллар
1;02.03.2022;"67.764";Сингапурский доллар
1;01.03.2022;"68.8743";Сингапурский доллар
1;26.02.2022;"61.7277";Сингапурский доллар
1;25.02.2022;"64.2917";Сингапурский доллар
1;23.02.2022;"59.6627";Сингапурский доллар
1;22.02.2022;"57.0929";Сингапурский доллар
1;19.02.2022;"56.4292";Сингапурский доллар
1;18.02.2022;"56.3175";Сингапурский доллар
1;17.02.2022;"55.8182";Сингапурский доллар
1;16.02.2022;"56.5785";Сингапурский доллар
1;15.02.2022;"56.8326";Сингапурский доллар
1;12.02.2022;"55.7646";Сингапурский доллар
1;11.02.2022;"55.6936";Сингапурский доллар
1;10.02.2022;"55.6724";Сингапурский доллар
1;09.02.2022;"55.9924";Сингапурский доллар
1;08.02.2022;"56.2932";Сингапурский доллар
1;05.02.2022;"56.5855";Сингапурский доллар
1;04.02.2022;"56.8452";Сингапурский доллар
1;03.02.2022;"56.7395";Сингапурский доллар
1;02.02.2022;"57.1504";Сингапурский доллар
1;01.02.2022;"57.2158";Сингапурский доллар
1;29.01.2022;"57.3705";Сингапурский доллар
1;28.01.2022;"58.423";Сингапурский доллар
1;27.01.2022;"58.716";Сингапурский доллар
1;26.01.2022;"58.531";Сингапурский доллар
1;25.01.2022;"57.546";Сингапурский доллар
1;22.01.2022;"56.9722";Сингапурский доллар
1;21.01.2022;"56.7742";Сингапурский доллар
1;20.01.2022;"56.9237";Сингапурский доллар
1;19.01.2022;"56.6113";Сингапурский доллар
1;18.01.2022;"56.4056";Сингапурский доллар
1;15.01.2022;"56.3448";Сингапурский доллар
1;14.01.2022;"55.4496";Сингапурский доллар
1;13.01.2022;"55.1526";Сингапурский доллар
1;12.01.2022;"55.3149";Сингапурский доллар
1;11.01.2022;"55.4231";Сингапурский доллар
1;31.12.2021;"54.8852";Сингапурский доллар
1;30.12.2021;"54.3553";Сингапурский доллар
1;29.12.2021;"54.2726";Сингапурский доллар
1;28.12.2021;"53.9827";Сингапурский доллар
1;25.12.2021;"53.9421";Сингапурский доллар
1;24.12.2021;"53.9558";Сингапурский доллар
1;23.12.2021;"54.0152";Сингапурский доллар
1;22.12.2021;"54.1088";Сингапурский доллар
1;21.12.2021;"54.3011";Сингапурский доллар
1;18.12.2021;"54.0406";Сингапурский доллар
1;17.12.2021;"53.9138";Сингапурский доллар
1;16.12.2021;"53.9886";Сингапурский доллар
1;15.12.2021;"53.6864";Сингапурский доллар
1;14.12.2021;"53.7178";Сингапурский доллар
1;11.12.2021;"53.8685";Сингапурский доллар
1;10.12.2021;"53.9509";Сингапурский доллар
1;09.12.2021;"54.0991";Сингапурский доллар
1;08.12.2021;"54.2792";Сингапурский доллар
1;07.12.2021;"53.7968";Сингапурский доллар
