nominal;data;curs;cdx
10;25.03.2022;"79.3537";Таджикских сомони
10;24.03.2022;"85.233";Таджикских сомони
10;23.03.2022;"89.1648";Таджикских сомони
10;22.03.2022;"89.6456";Таджикских сомони
10;19.03.2022;"89.0209";Таджикских сомони
10;18.03.2022;"91.432";Таджикских сомони
10;17.03.2022;"89.1262";Таджикских сомони
10;16.03.2022;"98.9107";Таджикских сомони
10;15.03.2022;"95.0614";Таджикских сомони
1;12.03.2022;"10.3551";Таджикский сомони
1;11.03.2022;"10.6719";Таджикский сомони
10;10.03.2022;"89.2959";Таджикских сомони
10;05.03.2022;"93.6393";Таджикских сомони
10;04.03.2022;"99.0309";Таджикских сомони
10;03.03.2022;"91.3705";Таджикских сомони
10;02.03.2022;"81.2988";Таджикских сомони
10;01.03.2022;"82.8688";Таджикских сомони
10;26.02.2022;"73.94";Таджикских сомони
10;25.02.2022;"77.0304";Таджикских сомони
10;23.02.2022;"71.2622";Таджикских сомони
10;22.02.2022;"68.0258";Таджикских сомони
10;19.02.2022;"67.135";Таджикских сомони
10;18.02.2022;"67.1269";Таджикских сомони
10;17.02.2022;"66.4724";Таджикских сомони
10;16.02.2022;"67.4931";Таджикских сомони
10;15.02.2022;"67.8566";Таджикских сомони
10;12.02.2022;"66.3893";Таджикских сомони
10;11.02.2022;"66.1568";Таджикских сомони
10;10.02.2022;"66.2253";Таджикских сомони
10;09.02.2022;"66.6704";Таджикских сомони
10;08.02.2022;"67.0036";Таджикских сомони
10;05.02.2022;"67.3613";Таджикских сомони
10;04.02.2022;"67.892";Таджикских сомони
10;03.02.2022;"67.7157";Таджикских сомони
10;02.02.2022;"68.287";Таджикских сомони
10;01.02.2022;"68.588";Таджикских сомони
10;29.01.2022;"68.8954";Таджикских сомони
10;28.01.2022;"69.8955";Таджикских сомони
10;27.01.2022;"69.8926";Таджикских сомони
10;26.01.2022;"69.6257";Таджикских сомони
10;25.01.2022;"68.4948";Таджикских сомони
10;22.01.2022;"67.8976";Таджикских сомони
10;21.01.2022;"67.6767";Таджикских сомони
10;20.01.2022;"68.0564";Таджикских сомони
10;19.01.2022;"67.5827";Таджикских сомони
10;18.01.2022;"67.3222";Таджикских сомони
10;15.01.2022;"67.0799";Таджикских сомони
10;14.01.2022;"66.0776";Таджикских сомони
10;13.01.2022;"65.9829";Таджикских сомони
10;12.01.2022;"66.2554";Таджикских сомони
10;11.01.2022;"66.5175";Таджикских сомони
10;31.12.2021;"65.8039";Таджикских сомони
10;30.12.2021;"65.236";Таджикских сомони
10;29.12.2021;"65.0982";Таджикских сомони
10;28.12.2021;"64.894";Таджикских сомони
10;25.12.2021;"64.826";Таджикских сомони
10;24.12.2021;"65.0051";Таджикских сомони
10;23.12.2021;"65.3878";Таджикских сомони
10;22.12.2021;"65.4148";Таджикских сомони
10;21.12.2021;"65.8058";Таджикских сомони
10;18.12.2021;"65.3372";Таджикских сомони
10;17.12.2021;"65.1646";Таджикских сомони
10;16.12.2021;"65.4128";Таджикских сомони
10;15.12.2021;"65.0751";Таджикских сомони
10;14.12.2021;"65.0228";Таджикских сомони
10;11.12.2021;"65.1957";Таджикских сомони
10;10.12.2021;"65.2191";Таджикских сомони
10;09.12.2021;"65.4077";Таджикских сомони
10;08.12.2021;"65.6686";Таджикских сомони
10;07.12.2021;"65.223";Таджикских сомони
