nominal;data;curs;cdx
1;19.03.2022;"29.7007";Новый туркменский манат
1;18.03.2022;"29.9432";Новый туркменский манат
1;17.03.2022;"30.872";Новый туркменский манат
1;16.03.2022;"31.8521";Новый туркменский манат
1;15.03.2022;"32.9132";Новый туркменский манат
1;12.03.2022;"33.3576";Новый туркменский манат
1;11.03.2022;"34.3939";Новый туркменский манат
1;10.03.2022;"33.1671";Новый туркменский манат
1;05.03.2022;"30.2754";Новый туркменский манат
1;04.03.2022;"31.9761";Новый туркменский манат
1;03.03.2022;"29.5418";Новый туркменский манат
1;02.03.2022;"26.2506";Новый туркменский манат
1;01.03.2022;"26.7694";Новый туркменский манат
1;26.02.2022;"23.9052";Новый туркменский манат
1;25.02.2022;"24.8723";Новый туркменский манат
1;23.02.2022;"23.0098";Новый туркменский манат
1;22.02.2022;"21.9648";Новый туркменский манат
1;19.02.2022;"21.6772";Новый туркменский манат
1;18.02.2022;"21.6746";Новый туркменский манат
1;17.02.2022;"21.4633";Новый туркменский манат
1;16.02.2022;"21.7928";Новый туркменский манат
1;15.02.2022;"21.9102";Новый туркменский манат
1;12.02.2022;"21.4554";Новый туркменский манат
1;11.02.2022;"21.3803";Новый туркменский манат
1;10.02.2022;"21.4024";Новый туркменский манат
1;09.02.2022;"21.5463";Новый туркменский манат
1;08.02.2022;"21.654";Новый туркменский манат
1;05.02.2022;"21.7599";Новый туркменский манат
1;04.02.2022;"21.9314";Новый туркменский манат
1;03.02.2022;"21.8841";Новый туркменский манат
1;02.02.2022;"22.0687";Новый туркменский манат
1;01.02.2022;"22.166";Новый туркменский манат
1;29.01.2022;"22.2654";Новый туркменский манат
1;28.01.2022;"22.5886";Новый туркменский манат
1;27.01.2022;"22.5876";Новый туркменский манат
1;26.01.2022;"22.5013";Новый туркменский манат
1;25.01.2022;"22.1359";Новый туркменский манат
1;22.01.2022;"21.9429";Новый туркменский манат
1;21.01.2022;"21.8715";Новый туркменский манат
1;20.01.2022;"21.9942";Новый туркменский манат
1;19.01.2022;"21.8411";Новый туркменский манат
1;18.01.2022;"21.7569";Новый туркменский манат
1;15.01.2022;"21.6786";Новый туркменский манат
1;14.01.2022;"21.3358";Новый туркменский манат
1;13.01.2022;"21.3241";Новый туркменский манат
1;12.01.2022;"21.4122";Новый туркменский манат
1;11.01.2022;"21.4969";Новый туркменский манат
1;31.12.2021;"21.2568";Новый туркменский манат
1;30.12.2021;"21.0734";Новый туркменский манат
1;29.12.2021;"21.0289";Новый туркменский манат
1;28.12.2021;"20.9536";Новый туркменский манат
1;25.12.2021;"20.9409";Новый туркменский манат
1;24.12.2021;"20.9895";Новый туркменский манат
1;23.12.2021;"21.113";Новый туркменский манат
1;22.12.2021;"21.1218";Новый туркменский манат
1;21.12.2021;"21.2574";Новый туркменский манат
1;18.12.2021;"21.0967";Новый туркменский манат
1;17.12.2021;"21.0503";Новый туркменский манат
1;16.12.2021;"21.1305";Новый туркменский манат
1;15.12.2021;"21.0214";Новый туркменский манат
1;14.12.2021;"21.0045";Новый туркменский манат
1;11.12.2021;"21.0603";Новый туркменский манат
1;10.12.2021;"21.0586";Новый туркменский манат
1;09.12.2021;"21.1288";Новый туркменский манат
1;08.12.2021;"21.2131";Новый туркменский манат
1;07.12.2021;"21.0785";Новый туркменский манат
