nominal;data;curs;cdx
10;16.03.2022;"36.945";Украинских гривен
10;15.03.2022;"38.1758";Украинских гривен
10;12.03.2022;"38.6913";Украинских гривен
10;11.03.2022;"39.8932";Украинских гривен
10;10.03.2022;"38.6305";Украинских гривен
10;05.03.2022;"35.2121";Украинских гривен
10;04.03.2022;"37.1901";Украинских гривен
10;03.03.2022;"34.359";Украинских гривен
10;02.03.2022;"30.4044";Украинских гривен
10;01.03.2022;"31.0053";Украинских гривен
10;26.02.2022;"27.8032";Украинских гривен
10;25.02.2022;"29.075";Украинских гривен
10;23.02.2022;"27.7674";Украинских гривен
10;22.02.2022;"26.9455";Украинских гривен
10;19.02.2022;"26.7266";Украинских гривен
10;18.02.2022;"26.8435";Украинских гривен
10;17.02.2022;"26.7288";Украинских гривен
10;16.02.2022;"26.9423";Украинских гривен
10;15.02.2022;"26.8103";Украинских гривен
10;12.02.2022;"26.7511";Украинских гривен
10;11.02.2022;"26.783";Украинских гривен
10;10.02.2022;"26.7306";Украинских гривен
10;09.02.2022;"26.9569";Украинских гривен
10;08.02.2022;"26.995";Украинских гривен
10;05.02.2022;"26.9337";Украинских гривен
10;04.02.2022;"27.0955";Украинских гривен
10;03.02.2022;"26.8981";Украинских гривен
10;02.02.2022;"27.2497";Украинских гривен
10;01.02.2022;"27.1136";Украинских гривен
10;29.01.2022;"26.9859";Украинских гривен
10;28.01.2022;"27.2295";Украинских гривен
10;27.01.2022;"27.3825";Украинских гривен
10;26.01.2022;"27.4637";Украинских гривен
10;25.01.2022;"27.2817";Украинских гривен
10;22.01.2022;"27.0692";Украинских гривен
10;21.01.2022;"27.0324";Украинских гривен
10;20.01.2022;"27.0835";Украинских гривен
10;19.01.2022;"26.8938";Украинских гривен
10;18.01.2022;"27.0573";Украинских гривен
10;15.01.2022;"27.1332";Украинских гривен
10;14.01.2022;"26.8722";Украинских гривен
10;13.01.2022;"26.9138";Украинских гривен
10;12.01.2022;"27.2265";Украинских гривен
10;11.01.2022;"27.3005";Украинских гривен
10;31.12.2021;"27.2584";Украинских гривен
10;30.12.2021;"27.0902";Украинских гривен
10;29.12.2021;"26.9711";Украинских гривен
10;28.12.2021;"26.8523";Украинских гривен
10;25.12.2021;"26.8887";Украинских гривен
10;24.12.2021;"26.8564";Украинских гривен
10;23.12.2021;"27.0725";Украинских гривен
10;22.12.2021;"27.0628";Украинских гривен
10;21.12.2021;"27.2441";Украинских гривен
10;18.12.2021;"27.0581";Украинских гривен
10;17.12.2021;"27.0775";Украинских гривен
10;16.12.2021;"27.2049";Украинских гривен
10;15.12.2021;"27.2012";Украинских гривен
10;14.12.2021;"27.2914";Украинских гривен
10;11.12.2021;"27.2173";Украинских гривен
10;10.12.2021;"27.1508";Украинских гривен
10;09.12.2021;"27.1148";Украинских гривен
10;08.12.2021;"27.1202";Украинских гривен
10;07.12.2021;"26.8797";Украинских гривен
