nominal;data;curs;cdx
1;16.03.2022;"111.4823";Доллар США
1;15.03.2022;"115.1963";Доллар США
1;12.03.2022;"116.7517";Доллар США
1;11.03.2022;"120.3785";Доллар США
1;10.03.2022;"116.0847";Доллар США
1;05.03.2022;"105.8124";Доллар США
1;04.03.2022;"111.7564";Доллар США
1;03.03.2022;"103.2487";Доллар США
1;02.03.2022;"91.7457";Доллар США
1;01.03.2022;"93.5589";Доллар США
1;26.02.2022;"83.5485";Доллар США
1;25.02.2022;"86.9288";Доллар США
1;23.02.2022;"80.4194";Доллар США
1;22.02.2022;"76.7671";Доллар США
1;19.02.2022;"75.7619";Доллар США
1;18.02.2022;"75.7527";Доллар США
1;17.02.2022;"75.0141";Доллар США
1;16.02.2022;"76.166";Доллар США
1;15.02.2022;"76.5762";Доллар США
1;12.02.2022;"74.9867";Доллар США
1;11.02.2022;"74.7241";Доллар США
1;10.02.2022;"74.8015";Доллар США
1;09.02.2022;"75.3042";Доллар США
1;08.02.2022;"75.6806";Доллар США
1;05.02.2022;"76.0509";Доллар США
1;04.02.2022;"76.6501";Доллар США
1;03.02.2022;"76.4849";Доллар США
1;02.02.2022;"77.1302";Доллар США
1;01.02.2022;"77.4702";Доллар США
1;29.01.2022;"77.8174";Доллар США
1;28.01.2022;"78.947";Доллар США
1;27.01.2022;"78.9437";Доллар США
1;26.01.2022;"78.6422";Доллар США
1;25.01.2022;"77.3649";Доллар США
1;22.01.2022;"76.6903";Доллар США
1;21.01.2022;"76.4408";Доллар США
1;20.01.2022;"76.8697";Доллар США
1;19.01.2022;"76.3347";Доллар США
1;18.01.2022;"76.0404";Доллар США
1;15.01.2022;"75.7668";Доллар США
1;14.01.2022;"74.5686";Доллар США
1;13.01.2022;"74.5277";Доллар США
1;12.01.2022;"74.8355";Доллар США
1;11.01.2022;"75.1315";Доллар США
1;31.12.2021;"74.2926";Доллар США
1;30.12.2021;"73.6514";Доллар США
1;29.12.2021;"73.4959";Доллар США
1;28.12.2021;"73.2329";Доллар США
1;25.12.2021;"73.1886";Доллар США
1;24.12.2021;"73.3583";Доллар США
1;23.12.2021;"73.7901";Доллар США
1;22.12.2021;"73.8206";Доллар США
1;21.12.2021;"74.2947";Доллар США
1;18.12.2021;"73.733";Доллар США
1;17.12.2021;"73.5708";Доллар США
1;16.12.2021;"73.851";Доллар США
1;15.12.2021;"73.4698";Доллар США
1;14.12.2021;"73.4107";Доллар США
1;11.12.2021;"73.6059";Доллар США
1;10.12.2021;"73.5998";Доллар США
1;09.12.2021;"73.8453";Доллар США
1;08.12.2021;"74.1399";Доллар США
1;07.12.2021;"73.6694";Доллар США
1;04.12.2021;"73.7426";Доллар США
1;03.12.2021;"74.0637";Доллар США
1;02.12.2021;"73.9746";Доллар США
1;01.12.2021;"74.8926";Доллар США
1;30.11.2021;"74.9818";Доллар США
1;27.11.2021;"75.5873";Доллар США
1;26.11.2021;"74.6004";Доллар США
1;25.11.2021;"74.3726";Доллар США
1;24.11.2021;"74.8327";Доллар США
1;23.11.2021;"73.4506";Доллар США
1;20.11.2021;"72.7617";Доллар США
1;19.11.2021;"72.6022";Доллар США
1;18.11.2021;"72.8228";Доллар США
1;17.11.2021;"72.5553";Доллар США
1;16.11.2021;"72.2724";Доллар США
1;13.11.2021;"71.8118";Доллар США
1;12.11.2021;"71.1964";Доллар США
1;11.11.2021;"70.695";Доллар США
1;10.11.2021;"71.2866";Доллар США
1;09.11.2021;"71.3975";Доллар США
1;04.11.2021;"71.4876";Доллар США
1;03.11.2021;"71.4783";Доллар США
1;02.11.2021;"71.0863";Доллар США
1;30.10.2021;"70.52";Доллар США
1;29.10.2021;"70.5207";Доллар США
1;28.10.2021;"69.8104";Доллар США
1;27.10.2021;"69.5526";Доллар США
1;26.10.2021;"70.1345";Доллар США
1;23.10.2021;"70.8623";Доллар США
1;22.10.2021;"70.9904";Доллар США
1;21.10.2021;"71.0555";Доллар США
1;20.10.2021;"70.9674";Доллар США
1;19.10.2021;"71.1714";Доллар США
1;16.10.2021;"71.2371";Доллар США
1;15.10.2021;"71.7846";Доллар США
1;14.10.2021;"71.8577";Доллар США
1;13.10.2021;"71.8801";Доллар США
1;12.10.2021;"71.6373";Доллар США
1;09.10.2021;"71.9882";Доллар США
1;08.10.2021;"72.2854";Доллар США
1;07.10.2021;"72.5682";Доллар США
1;06.10.2021;"72.5686";Доллар США
1;05.10.2021;"72.9239";Доллар США
1;02.10.2021;"72.9215";Доллар США
1;01.10.2021;"72.6642";Доллар США
1;30.09.2021;"72.7608";Доллар США
1;29.09.2021;"72.5083";Доллар США
1;28.09.2021;"72.6613";Доллар США
1;25.09.2021;"73.0081";Доллар США
1;24.09.2021;"72.7245";Доллар США
1;23.09.2021;"72.8806";Доллар США
1;22.09.2021;"73.2067";Доллар США
1;21.09.2021;"73.3315";Доллар США
1;18.09.2021;"72.5602";Доллар США
1;17.09.2021;"72.4329";Доллар США
1;16.09.2021;"72.852";Доллар США
1;15.09.2021;"72.7171";Доллар США
1;14.09.2021;"73.0841";Доллар США
1;11.09.2021;"72.76";Доллар США
1;10.09.2021;"73.129";Доллар США
1;09.09.2021;"73.4421";Доллар США
1;08.09.2021;"73.1909";Доллар США
1;07.09.2021;"72.9538";Доллар США
1;04.09.2021;"72.8545";Доллар США
1;03.09.2021;"72.8491";Доллар США
1;02.09.2021;"73.1912";Доллар США
1;01.09.2021;"73.2781";Доллар США
1;31.08.2021;"73.5744";Доллар США
1;28.08.2021;"73.9866";Доллар США
1;27.08.2021;"73.9908";Доллар США
