nominal;data;curs;cdx
10000;25.03.2022;"83.391";Узбекских сумов
10000;24.03.2022;"89.4243";Узбекских сумов
10000;23.03.2022;"90.2096";Узбекских сумов
10000;22.03.2022;"91.105";Узбекских сумов
10000;19.03.2022;"91.7873";Узбекских сумов
10000;18.03.2022;"92.535";Узбекских сумов
10000;17.03.2022;"98.5216";Узбекских сумов
1000;16.03.2022;"10.1649";Узбекских сумов
1000;15.03.2022;"10.5423";Узбекских сумов
1000;12.03.2022;"10.7062";Узбекских сумов
1000;11.03.2022;"11.0589";Узбекских сумов
1000;10.03.2022;"10.6526";Узбекских сумов
10000;05.03.2022;"97.0734";Узбекских сумов
1000;04.03.2022;"10.2643";Узбекских сумов
10000;03.03.2022;"94.964";Узбекских сумов
10000;02.03.2022;"84.384";Узбекских сумов
10000;01.03.2022;"86.3067";Узбекских сумов
10000;26.02.2022;"77.0723";Узбекских сумов
10000;25.02.2022;"80.1905";Узбекских сумов
10000;23.02.2022;"74.1793";Узбекских сумов
10000;22.02.2022;"70.8104";Узбекских сумов
10000;19.02.2022;"69.7854";Узбекских сумов
10000;18.02.2022;"69.8498";Узбекских сумов
10000;17.02.2022;"69.2193";Узбекских сумов
10000;16.02.2022;"70.2378";Узбекских сумов
10000;15.02.2022;"70.508";Узбекских сумов
10000;12.02.2022;"69.1043";Узбекских сумов
10000;11.02.2022;"68.9655";Узбекских сумов
10000;10.02.2022;"69.0044";Узбекских сумов
10000;09.02.2022;"69.3855";Узбекских сумов
10000;08.02.2022;"69.7323";Узбекских сумов
10000;05.02.2022;"70.1887";Узбекских сумов
10000;04.02.2022;"70.8079";Узбекских сумов
10000;03.02.2022;"70.7342";Узбекских сумов
10000;02.02.2022;"71.3847";Узбекских сумов
10000;01.02.2022;"71.6311";Узбекских сумов
10000;29.01.2022;"71.9329";Узбекских сумов
10000;28.01.2022;"73.0722";Узбекских сумов
10000;27.01.2022;"72.9744";Узбекских сумов
10000;26.01.2022;"72.6487";Узбекских сумов
10000;25.01.2022;"71.5146";Узбекских сумов
10000;22.01.2022;"70.7797";Узбекских сумов
10000;21.01.2022;"70.6656";Узбекских сумов
10000;20.01.2022;"71.0569";Узбекских сумов
10000;19.01.2022;"70.4197";Узбекских сумов
10000;18.01.2022;"70.1482";Узбекских сумов
10000;15.01.2022;"70.0374";Узбекских сумов
10000;14.01.2022;"68.9298";Узбекских сумов
10000;13.01.2022;"68.892";Узбекских сумов
10000;12.01.2022;"69.1765";Узбекских сумов
10000;11.01.2022;"69.4501";Узбекских сумов
10000;31.12.2021;"68.5504";Узбекских сумов
10000;30.12.2021;"68.1313";Узбекских сумов
10000;29.12.2021;"67.9879";Узбекских сумов
10000;28.12.2021;"67.8194";Узбекских сумов
10000;25.12.2021;"67.7218";Узбекских сумов
10000;24.12.2021;"67.6202";Узбекских сумов
10000;23.12.2021;"68.0868";Узбекских сумов
10000;22.12.2021;"68.2892";Узбекских сумов
10000;21.12.2021;"68.6559";Узбекских сумов
10000;18.12.2021;"68.018";Узбекских сумов
10000;17.12.2021;"67.9315";Узбекских сумов
10000;16.12.2021;"68.0968";Узбекских сумов
10000;15.12.2021;"67.8624";Узбекских сумов
10000;14.12.2021;"67.9258";Узбекских сумов
10000;11.12.2021;"68.1806";Узбекских сумов
10000;10.12.2021;"68.2602";Узбекских сумов
10000;09.12.2021;"68.4879";Узбекских сумов
10000;08.12.2021;"68.8407";Узбекских сумов
10000;07.12.2021;"68.3685";Узбекских сумов
