nominal;data;curs;cdx
1;19.03.2022;"143.5811";СДР (специальные права заимствования)
1;18.03.2022;"144.9663";СДР (специальные права заимствования)
1;17.03.2022;"149.0395";СДР (специальные права заимствования)
1;16.03.2022;"153.6237";СДР (специальные права заимствования)
1;15.03.2022;"159.3464";СДР (специальные права заимствования)
1;12.03.2022;"161.812";СДР (специальные права заимствования)
1;11.03.2022;"166.5232";СДР (специальные права заимствования)
1;10.03.2022;"160.2468";СДР (специальные права заимствования)
1;05.03.2022;"147.0612";СДР (специальные права заимствования)
1;04.03.2022;"155.404";СДР (специальные права заимствования)
1;03.03.2022;"144.0051";СДР (специальные права заимствования)
1;02.03.2022;"127.9724";СДР (специальные права заимствования)
1;01.03.2022;"130.4436";СДР (специальные права заимствования)
1;26.02.2022;"116.4816";СДР (специальные права заимствования)
1;25.02.2022;"121.9107";СДР (специальные права заимствования)
1;23.02.2022;"112.8485";СДР (специальные права заимствования)
1;22.02.2022;"107.7234";СДР (специальные права заимствования)
1;19.02.2022;"106.3038";СДР (специальные права заимствования)
1;18.02.2022;"106.2629";СДР (специальные права заимствования)
1;17.02.2022;"105.0828";СДР (специальные права заимствования)
1;16.02.2022;"106.5768";СДР (специальные права заимствования)
1;15.02.2022;"107.3805";СДР (специальные права заимствования)
1;12.02.2022;"105.2753";СДР (специальные права заимствования)
1;11.02.2022;"104.9134";СДР (специальные права заимствования)
1;10.02.2022;"104.9951";СДР (специальные права заимствования)
1;09.02.2022;"105.7745";СДР (специальные права заимствования)
1;08.02.2022;"106.4538";СДР (специальные права заимствования)
1;05.02.2022;"106.4089";СДР (специальные права заимствования)
1;04.02.2022;"107.3646";СДР (специальные права заимствования)
1;03.02.2022;"106.9228";СДР (специальные права заимствования)
1;02.02.2022;"107.3483";СДР (специальные права заимствования)
1;01.02.2022;"107.7401";СДР (специальные права заимствования)
1;29.01.2022;"108.3249";СДР (специальные права заимствования)
1;28.01.2022;"110.5045";СДР (специальные права заимствования)
1;27.01.2022;"110.4328";СДР (специальные права заимствования)
1;26.01.2022;"110.1706";СДР (специальные права заимствования)
1;25.01.2022;"108.4671";СДР (специальные права заимствования)
1;22.01.2022;"107.5497";СДР (специальные права заимствования)
1;21.01.2022;"107.1876";СДР (специальные права заимствования)
1;20.01.2022;"107.8943";СДР (специальные права заимствования)
1;19.01.2022;"107.4716";СДР (специальные права заимствования)
1;18.01.2022;"107.0573";СДР (специальные права заимствования)
1;15.01.2022;"106.6334";СДР (специальные права заимствования)
1;14.01.2022;"104.5347";СДР (специальные права заимствования)
1;13.01.2022;"104.3671";СДР (специальные права заимствования)
1;12.01.2022;"104.7652";СДР (специальные права заимствования)
1;11.01.2022;"105.0474";СДР (специальные права заимствования)
1;31.12.2021;"103.9792";СДР (специальные права заимствования)
1;30.12.2021;"103.0818";СДР (специальные права заимствования)
1;29.12.2021;"102.8641";СДР (специальные права заимствования)
1;28.12.2021;"102.496";СДР (специальные права заимствования)
1;25.12.2021;"102.434";СДР (специальные права заимствования)
1;24.12.2021;"102.5292";СДР (специальные права заимствования)
1;23.12.2021;"103.0722";СДР (специальные права заимствования)
1;22.12.2021;"103.0381";СДР (специальные права заимствования)
1;21.12.2021;"103.9011";СДР (специальные права заимствования)
1;18.12.2021;"103.0647";СДР (специальные права заимствования)
1;17.12.2021;"102.7446";СДР (специальные права заимствования)
1;16.12.2021;"103.2939";СДР (специальные права заимствования)
1;15.12.2021;"102.6307";СДР (специальные права заимствования)
1;14.12.2021;"102.4777";СДР (специальные права заимствования)
1;11.12.2021;"102.8863";СДР (специальные права заимствования)
1;10.12.2021;"102.8314";СДР (специальные права заимствования)
1;09.12.2021;"103.105";СДР (специальные права заимствования)
1;08.12.2021;"103.6468";СДР (специальные права заимствования)
1;07.12.2021;"103.0325";СДР (специальные права заимствования)
