nominal;data;curs;cdx
10;19.03.2022;"69.1716";Южноафриканских рэндов
10;18.03.2022;"70.1082";Южноафриканских рэндов
10;17.03.2022;"71.7849";Южноафриканских рэндов
10;16.03.2022;"73.6503";Южноафриканских рэндов
10;15.03.2022;"76.4003";Южноафриканских рэндов
10;12.03.2022;"77.4318";Южноафриканских рэндов
10;11.03.2022;"79.8372";Южноафриканских рэндов
10;10.03.2022;"75.9846";Южноафриканских рэндов
10;05.03.2022;"69.4029";Южноафриканских рэндов
10;04.03.2022;"72.98";Южноафриканских рэндов
10;03.03.2022;"66.8043";Южноафриканских рэндов
10;02.03.2022;"59.9571";Южноафриканских рэндов
10;01.03.2022;"60.8375";Южноафриканских рэндов
10;26.02.2022;"54.434";Южноафриканских рэндов
10;25.02.2022;"56.9685";Южноафриканских рэндов
10;23.02.2022;"52.9601";Южноафриканских рэндов
10;22.02.2022;"50.823";Южноафриканских рэндов
10;19.02.2022;"50.6708";Южноафриканских рэндов
10;18.02.2022;"50.519";Южноафриканских рэндов
10;17.02.2022;"49.8019";Южноафриканских рэндов
10;16.02.2022;"50.7422";Южноафриканских рэндов
10;15.02.2022;"50.3904";Южноафриканских рэндов
10;12.02.2022;"49.6597";Южноафриканских рэндов
10;11.02.2022;"49.3424";Южноафриканских рэндов
10;10.02.2022;"48.7583";Южноафриканских рэндов
10;09.02.2022;"48.4436";Южноафриканских рэндов
10;08.02.2022;"48.9199";Южноафриканских рэндов
10;05.02.2022;"49.8413";Южноафриканских рэндов
10;04.02.2022;"49.7945";Южноафриканских рэндов
10;03.02.2022;"50.1932";Южноафриканских рэндов
10;02.02.2022;"50.4643";Южноафриканских рэндов
10;01.02.2022;"49.814";Южноафриканских рэндов
10;29.01.2022;"50.2836";Южноафриканских рэндов
10;28.01.2022;"51.5071";Южноафриканских рэндов
10;27.01.2022;"52.0448";Южноафриканских рэндов
10;26.01.2022;"51.3193";Южноафриканских рэндов
10;25.01.2022;"51.1666";Южноафриканских рэндов
10;22.01.2022;"50.6156";Южноафриканских рэндов
10;21.01.2022;"50.1343";Южноафриканских рэндов
10;20.01.2022;"49.7185";Южноафриканских рэндов
10;19.01.2022;"49.3935";Южноафриканских рэндов
10;18.01.2022;"49.4388";Южноафриканских рэндов
10;15.01.2022;"49.4603";Южноафриканских рэндов
10;14.01.2022;"48.8097";Южноафриканских рэндов
10;13.01.2022;"48.1436";Южноафриканских рэндов
10;12.01.2022;"48.0136";Южноафриканских рэндов
10;11.01.2022;"47.9712";Южноафриканских рэндов
10;31.12.2021;"46.4948";Южноафриканских рэндов
10;30.12.2021;"46.7788";Южноафриканских рэндов
10;29.12.2021;"47.2072";Южноафриканских рэндов
10;28.12.2021;"47.2178";Южноафриканских рэндов
10;25.12.2021;"46.7829";Южноафриканских рэндов
10;24.12.2021;"46.5619";Южноафриканских рэндов
10;23.12.2021;"46.5691";Южноафриканских рэндов
10;22.12.2021;"46.7959";Южноафриканских рэндов
10;21.12.2021;"46.8988";Южноафриканских рэндов
10;18.12.2021;"46.4597";Южноафриканских рэндов
10;17.12.2021;"46.205";Южноафриканских рэндов
10;16.12.2021;"45.6891";Южноафриканских рэндов
10;15.12.2021;"45.9152";Южноафриканских рэндов
10;14.12.2021;"46.0573";Южноафриканских рэндов
10;11.12.2021;"45.923";Южноафриканских рэндов
10;10.12.2021;"46.8332";Южноафриканских рэндов
10;09.12.2021;"46.7443";Южноафриканских рэндов
10;08.12.2021;"46.594";Южноафриканских рэндов
10;07.12.2021;"46.0733";Южноафриканских рэндов
